# {'weights': 'distance'},main_metric=f1
,n_neighbors,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,52,0.045508558246637534,0.042883249130698374,0.020648614700331705,0.8316709022027842,0.8534072900158478,0.3894389438943895,0.8939393939393939,0.2489451476793249,0.42473868885556215,0.8628136256046104,0.6507005797249105
1,43,0.029608598320399547,0.031722271859408124,0.03972786048451377,0.9068971647275268,0.8557844690966719,0.41290322580645156,0.8767123287671232,0.270042194092827,0.43707856365455927,0.8710610270659669,0.6695415950063736
2,31,0.03920310732280806,0.037297386323992446,0.0152152205908176,0.8295041173968588,0.8605388272583201,0.42857142857142855,0.9295774647887324,0.27848101265822783,0.46373710691364606,0.870245960687455,0.6745950565274428
3,7,0.024223610805722457,0.011536873675369338,0.019754856920927186,0.8798298985342151,0.8795562599049128,0.5824175824175825,0.8346456692913385,0.4472573839662447,0.5540255186967817,0.8383760419882681,0.6805506933211285
4,35,0.015509343528711653,0.0033855377559870066,0.01693895748920288,0.8682054343571833,0.8557844690966719,0.4052287581699347,0.8985507246376812,0.2616033755274262,0.4376698467414872,0.8670618503653391,0.6731246344361346
5,37,0.04495778076269654,0.020336174434687493,0.016241526268018218,0.8534575462029921,0.8565768621236133,0.4104234527687296,0.9,0.26582278481012656,0.4419140915384273,0.8629782854790574,0.6614352903952707
6,34,0.040363211839215804,0.005429479704015489,0.02433885259058084,0.937806549883625,0.8589540412044374,0.43312101910828027,0.8831168831168831,0.2869198312236287,0.4538308275585353,0.8732201296696511,0.6829617154548955
7,54,0.020179145859807672,0.038457422312782756,0.0014969450139200816,0.8905206554156428,0.8478605388272583,0.35135135135135137,0.8813559322033898,0.21940928270042195,0.3932780595286223,0.8636801481938872,0.6389849736931501
8,15,0.04101537639475605,0.0031205370586663123,0.01630833428695437,0.8501945656030166,0.8629160063391442,0.47416413373860183,0.8478260869565217,0.3291139240506329,0.4739005470217025,0.8740887105073583,0.6935704670507046
9,51,0.011760325299064947,0.014437232510694361,0.007042870671870778,0.9282647328808065,0.8502377179080824,0.3678929765886288,0.8870967741935484,0.2320675105485232,0.4069975242202076,0.8690974580631883,0.6535023042587049
10,29,0.02631294646833892,0.010743140258129905,0.03761630523265646,0.8724978917060119,0.8621236133122029,0.45625000000000004,0.8795180722891566,0.3080168776371308,0.4699333926716742,0.873374498301945,0.6836277986177343
11,5,0.02447594579849787,0.01284657687112882,0.040912837189106044,0.8844905444245365,0.8660855784469097,0.5517241379310346,0.7428571428571429,0.4388185654008439,0.502031267126352,0.8276525676649171,0.6570495438122792
12,3,0.017028789131945003,0.012891320069501208,0.003319906404289331,0.9825808748168949,0.8645007923930269,0.5670886075949367,0.7088607594936709,0.47257383966244726,0.5047287015778529,0.8135679736544201,0.5754468495587841
13,7,0.0005620489290082798,0.04341599456782243,0.009768998704205308,0.9714684919542002,0.8708399366085579,0.5408450704225353,0.8135593220338984,0.4050632911392405,0.5145890593992103,0.8451332715858805,0.6611029655997598
14,10,0.01433172246680777,0.04321077862384662,0.022142996428807113,0.8210599482546561,0.8716323296354992,0.5344827586206897,0.8378378378378378,0.3924050632911392,0.5168774907705271,0.8573428012761142,0.6872259736447133
15,12,0.02206853826151856,0.017831941518429876,0.02182011032533697,0.991585249746493,0.8724247226624405,0.5360230547550432,0.8454545454545455,0.3924050632911392,0.5203470085339061,0.8699598641556037,0.6963794293773541
16,5,0.031965548366033124,0.01293410008490767,0.007231961260797289,0.8327407195310744,0.8700475435816165,0.5494505494505495,0.7874015748031497,0.4219409282700422,0.5135609693196823,0.8325079757126685,0.6381372420735173
17,14,0.010486079178294657,0.01336889774647981,0.01395981476958437,0.8970089297560944,0.8676703645007924,0.5014925373134329,0.8571428571428571,0.35443037974683544,0.4972906353636119,0.8604425234125759,0.6767143869426527
18,7,0.04265505063592541,0.026510334938040246,0.017838636824570805,0.8799941625314791,0.875594294770206,0.5626740947075209,0.8278688524590164,0.42616033755274263,0.5361414297157499,0.8442729237418958,0.6832896524330351
19,7,0.03588370430258023,0.005384583500570101,0.03202442930583434,0.8577948522067632,0.8676703645007924,0.5295774647887325,0.7966101694915254,0.39662447257383965,0.5006510989124032,0.8490027786353813,0.6704862234628082
20,8,0.03646000540184393,0.03702366360359165,0.005994939692142599,0.8792024031392596,0.8716323296354992,0.5397727272727273,0.8260869565217391,0.4008438818565401,0.5174976369589084,0.8491262735412164,0.6709389690128784
21,18,0.02269019235912643,0.03745580699126868,0.01965803790236151,0.9631017358729347,0.866877971473851,0.4878048780487805,0.8791208791208791,0.33755274261603374,0.4934543291016065,0.8673067819285789,0.688068041011921
