# {'objective': 'binary:logistic', 'eval_metric': 'auc'},main_metric=mcc
,max_depth,eta,subsample,scale_pos_weight,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,6,0.11579880686401621,0.7659992943890048,5.166240511148688,0.039894827301190074,0.006186351927691437,0.018970249763035445,0.999041203097884,0.847068145800317,0.633776091081594,0.5758620689655173,0.7046413502109705,0.542742090310088,0.8889780796542144,0.7284470854401152
1,5,0.18645716253171082,0.5623697482416632,3.161171298269771,0.01896068945347323,5.77131557757793e-05,0.0015299474453530251,0.8008655744697091,0.8605388272583201,0.6378600823045267,0.6224899598393574,0.6540084388185654,0.5518240945604093,0.889142739528661,0.7045632448716742
2,10,0.07514878485220983,0.9177334382102347,9.516209283845512,0.012446158678704198,0.024206210211144746,0.017024018143052908,0.9379827656203669,0.8684627575277337,0.6653225806451614,0.637065637065637,0.6962025316455697,0.584559367344801,0.8937902644849234,0.750884497143144
3,12,0.14102444601048977,0.8846432510070559,3.699513824762535,0.006276605190259306,0.04108384694304968,0.02478937564658042,0.9359704456426695,0.8866877971473851,0.6587112171837709,0.7582417582417582,0.5822784810126582,0.5995985128839776,0.8933662653082227,0.7522731909885464
4,19,0.02789283572028784,0.6937548186836355,5.62084503589435,0.022180809327699034,0.026232696373577603,0.0278785577858675,0.9721167703912665,0.8827258320126783,0.6605504587155963,0.7236180904522613,0.6075949367088608,0.5936122294158442,0.8973839662447256,0.7411258130456975
5,17,0.05541154260941099,0.8092096984338574,7.08131240598986,0.01765311999645291,0.04238520054756317,0.027749844751278997,0.9708107928544847,0.8851030110935024,0.6697038724373576,0.7277227722772277,0.620253164556962,0.603503705349588,0.8923906555521252,0.7472163577786394
6,6,0.1671373672567136,0.9517386181357945,3.555601343764644,0.04275738815611368,0.00024709385991151806,0.022634535211578564,0.9788780717921619,0.8771790808240888,0.6723044397463002,0.673728813559322,0.6708860759493671,0.5967339838094244,0.8941442832149841,0.7403858700959116
7,7,0.1344581113453817,0.6716249648694376,7.744369188030566,0.026847253893885887,0.0369472707088827,0.036583656841326216,0.9861026188772449,0.8613312202852615,0.6548323471400395,0.6148148148148148,0.70042194092827,0.5704205185641404,0.89729340331378,0.7390275038595109
8,18,0.0963761001012521,0.7386827546667255,3.646685357813473,0.010084290423667194,0.0013429944236044602,0.044766337850301055,0.8179697669590943,0.8858954041204438,0.6435643564356435,0.7784431137724551,0.5485232067510548,0.5906111853516249,0.8932551198929711,0.7342213788094775
9,14,0.014071220960547108,0.9927058880958122,7.404729450721909,0.03195534768299563,0.024099630701033402,0.008435378493576519,0.9293130409068375,0.8320126782884311,0.6044776119402985,0.5418060200668896,0.6835443037974683,0.5050796221324483,0.874278069362972,0.7090287173946661
10,16,0.021698467655035483,0.9989931476935999,7.134506853678966,0.022800367727727915,0.029414115080475756,0.043716863643641364,0.9219220017240122,0.866877971473851,0.6425531914893616,0.648068669527897,0.6371308016877637,0.5607995125335393,0.8663579294020789,0.7031642882345761
11,17,0.11910305251749943,0.8148327980382237,4.0382054945633,0.03831483950857372,0.04851568685007589,0.024860464596769282,0.9439072679577519,0.8874801901743264,0.661904761904762,0.7595628415300546,0.5864978902953587,0.6029151069841555,0.8966841617783267,0.7434112752445042
12,20,0.024310501358895287,0.9410805695087283,3.954215946801078,0.03330083361921388,0.04218169784155132,0.02435829429085933,0.9136959688270972,0.8882725832012678,0.665083135391924,0.7608695652173914,0.5907172995780591,0.6062228284512604,0.8925306164454049,0.7414868037476199
13,17,0.013255157092800398,0.6533358386248712,3.4677598340749713,0.046488467790501684,0.04572822631398915,0.009587229324461462,0.8096554690989739,0.8874801901743264,0.661904761904762,0.7595628415300546,0.5864978902953587,0.6029151069841555,0.8914644437583616,0.735764703020656
14,17,0.020006167888270247,0.8824473105004491,3.2807467759862687,0.04683645664255447,0.039081672703963954,0.0032231373595497164,0.9558517193930538,0.8858954041204438,0.6538461538461539,0.7597765363128491,0.5738396624472574,0.5954097140141807,0.8942183801584851,0.7439713199997506
15,12,0.027260336849704747,0.5805590245265023,4.359669999264772,0.04904969489197935,0.04180168516495569,0.006122725293984744,0.8735441728349059,0.8787638668779715,0.6695464362850972,0.6858407079646017,0.6540084388185654,0.5956140315521126,0.8978902953586498,0.7484697175300393
16,20,0.08545858027633253,0.9533347096767362,6.572772356641975,0.03284644495136085,0.047986671734577394,0.0025655362403465393,0.8690112101792804,0.8827258320126783,0.6509433962264151,0.7379679144385026,0.5822784810126582,0.5875398540986936,0.8945682823916846,0.7478708024086952
17,17,0.03505886978554417,0.9134878614303273,5.113575999022705,0.04930438458578689,0.024489678495644682,0.001042647410157044,0.8746709220272676,0.884310618066561,0.6651376146788991,0.7286432160804021,0.6118143459915611,0.5991793429559386,0.8966800452814654,0.7458173456899463
18,17,0.025894999943719972,0.6756184562927909,6.832598017427737,0.04146298079043242,0.024115029397056807,0.004347274493181448,0.9042481529258769,0.8724247226624405,0.6581740976645435,0.6623931623931624,0.6540084388185654,0.5797739631407653,0.8937120510445612,0.7388299666138035
19,13,0.017502932131585852,0.967289159647545,5.459298209734364,0.037640343222325366,0.04569078061069554,0.039046470032996904,0.9591617568165964,0.8645007923930269,0.6430062630480167,0.6363636363636364,0.6497890295358649,0.5594453545634714,0.8815560358135227,0.7203168826444863
