# class_weight=balanced
,max_depth,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0, 3,0.7622820919175911,0.5283018867924528,0.42105263157894735,0.7088607594936709,0.40610296717822797,0.8284655757949986,0.5757226566192422
1, 4,0.7662440570522979,0.5354330708661417,0.4271356783919598,0.7172995780590717,0.41593027682606065,0.8353586497890295,0.5747154739937175
2, 5,0.7678288431061807,0.5457364341085271,0.43137254901960786,0.7426160337552743,0.4310799489393044,0.839687146238551,0.5978784946278821
3, 6,0.7852614896988906,0.555008210180624,0.4543010752688172,0.7130801687763713,0.44116731597391534,0.8485540804775136,0.6081594306432665
4, 7,0.7931854199683043,0.5700164744645798,0.46756756756756757,0.729957805907173,0.46136376143452806,0.853806730472368,0.633950508207639
5, 8,0.8082408874801902,0.5856164383561644,0.49279538904899134,0.7215189873417721,0.48092214468226774,0.8631264793660596,0.6485010810040296
6, 9,0.8264659270998416,0.6010928961748634,0.5288461538461539,0.6962025316455697,0.5004440524920851,0.8689348564371719,0.6637474179733017
7, 10,0.820919175911252,0.5860805860805861,0.517799352750809,0.6751054852320675,0.48114156981163747,0.8670001029124215,0.6764654386617753
8, 11,0.8375594294770206,0.6034816247582204,0.5571428571428572,0.6582278481012658,0.504986280917741,0.8720181125861892,0.6991768692135876
9, 12,0.8526148969889065,0.6141078838174274,0.6040816326530613,0.6244725738396625,0.5231618178418852,0.8768055984357312,0.7006183711279658
10, 13,0.8637083993660856,0.6260869565217392,0.6457399103139013,0.6075949367088608,0.5432241975006368,0.8828115673561798,0.7082781261913008
11, 14,0.8692551505546752,0.6308724832214765,0.6714285714285714,0.5949367088607594,0.5532730779591714,0.8821529278583926,0.7125192093872932
12, 15,0.8763866877971473,0.6355140186915887,0.7120418848167539,0.5738396624472574,0.5668645220524131,0.8811732016054339,0.7135393982875038
13, 16,0.8748019017432647,0.616504854368932,0.7257142857142858,0.5358649789029536,0.5526407214799922,0.8860018524235875,0.713226917364559
14, 17,0.8795562599049128,0.625615763546798,0.7514792899408284,0.5358649789029536,0.5675325790472651,0.8859524544612536,0.7225384793324385
15, 18,0.8811410459587956,0.609375,0.7959183673469388,0.4936708860759494,0.5653724487072216,0.8858001440773902,0.7265746609195478
16, 19,0.8779714738510301,0.6051282051282052,0.7712418300653595,0.4978902953586498,0.5548848631251767,0.8853349799320778,0.7178933706661816
17, 20,0.8763866877971473,0.5894736842105263,0.7832167832167832,0.47257383966244726,0.5450036080878867,0.885616959967068,0.7276655099080104
18, 21,0.8811410459587956,0.596774193548387,0.8222222222222222,0.46835443037974683,0.5622228793592403,0.879880621591026,0.7218891645811321
19, 22,0.8779714738510301,0.5968586387434555,0.7862068965517242,0.4810126582278481,0.5520511566132853,0.8854502418441905,0.7236995052270919
20, 23,0.8803486529318542,0.5929919137466307,0.8208955223880597,0.4641350210970464,0.5587175295126532,0.8926973345682823,0.7367377649950588
21, 24,0.8851030110935024,0.6027397260273972,0.859375,0.4641350210970464,0.5777208908116851,0.890136873520634,0.7344736683505946
22, 25,0.8835182250396196,0.5950413223140496,0.8571428571428571,0.45569620253164556,0.5707814365309823,0.8863291139240507,0.732902497365791
23, 26,0.881933438985737,0.5872576177285318,0.8548387096774194,0.4472573839662447,0.5637880361687818,0.8868375012864053,0.7233666382262535
24, 27,0.8803486529318542,0.5793871866295264,0.8524590163934426,0.4388185654008439,0.5567388183274298,0.8885273232479161,0.7344773694617599
25, 28,0.8779714738510301,0.574585635359116,0.832,0.4388185654008439,0.546916048036355,0.8885273232479161,0.7303309533208439
26, 29,0.8811410459587956,0.5786516853932585,0.865546218487395,0.4345991561181435,0.5599413573469928,0.8903159411340948,0.737798924756767
27, 30,0.8795562599049128,0.5754189944134078,0.8512396694214877,0.4345991561181435,0.5531926681644814,0.8875146650200679,0.7339575805703716
28, 31,0.8795562599049128,0.5706214689265537,0.8632478632478633,0.42616033755274263,0.5528497315414309,0.8865987444684573,0.7292787139610143
29, 32,0.8787638668779715,0.573816155988858,0.8442622950819673,0.4345991561181435,0.5498730221235364,0.8921271997530101,0.736475764542714
30, 33,0.8763866877971473,0.5568181818181818,0.8521739130434782,0.41350210970464135,0.538647807558859,0.8999506020376661,0.75332122282356
31, 34,0.8787638668779715,0.56657223796034,0.8620689655172413,0.4219409282700422,0.549281463593326,0.8910733765565506,0.7403288236559079
32, 35,0.881933438985737,0.5802816901408451,0.8728813559322034,0.4345991561181435,0.5633719211030351,0.8897437480703922,0.7365402147336739
33, 36,0.8827258320126783,0.5842696629213484,0.8739495798319328,0.4388185654008439,0.566884029433411,0.8867901615725018,0.7372600381765329
34, 37,0.8787638668779715,0.5616045845272206,0.875,0.41350210970464135,0.5491213050332968,0.8933806730472368,0.735835695914185
35, 38,0.8787638668779715,0.5641025641025641,0.868421052631579,0.4177215189873418,0.549176480378564,0.8913821138211382,0.7329951298037799
36, 39,0.8787638668779715,0.5590778097982709,0.8818181818181818,0.4092827004219409,0.5491183862402587,0.8904538437789442,0.7361063846431641
37, 40,0.8771790808240888,0.5558739255014327,0.8660714285714286,0.4092827004219409,0.5419867758672957,0.8919131419162294,0.7328696355856907
38, 41,0.8779714738510301,0.5523255813953488,0.8878504672897196,0.4008438818565401,0.5455760101712978,0.8899475146650201,0.7353342871588551
39, 42,0.8811410459587956,0.576271186440678,0.8717948717948718,0.43037974683544306,0.55984537351756,0.8916620356076979,0.7335353010351764
40, 43,0.8827258320126783,0.5795454545454546,0.8869565217391304,0.43037974683544306,0.5668480350254599,0.8903694555932903,0.7393087458436113
41, 44,0.8740095087163233,0.547008547008547,0.8421052631578947,0.4050632911392405,0.527943002491378,0.8917484820417825,0.7288726038417009
42, 45,0.8787638668779715,0.5590778097982709,0.8818181818181818,0.4092827004219409,0.5491183862402587,0.8917134918184625,0.7360129123483266
43, 46,0.8779714738510301,0.5625000000000001,0.8608695652173913,0.4177215189873418,0.5456978644255093,0.8957908819594526,0.7431872042484162
44, 47,0.8724247226624405,0.5413105413105413,0.8333333333333334,0.4008438818565401,0.5208651765289828,0.8914026963054441,0.732610428175511
45, 48,0.881933438985737,0.5754985754985755,0.8859649122807017,0.42616033755274263,0.5633321323033545,0.8897746217968509,0.7368036144386055
