# {'solver': 'saga', 'n_jobs': -1, 'class_weight': 'balanced'},main_metric=mcc
,penalty,C,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,l2,2.682683265679077,0.04045629133469122,0.013259437282715194,0.03977845952660955,0.9920510633170501,0.7828843106180665,0.5705329153605015,0.4538653366583541,0.7679324894514767,0.46492919016077716,0.8639909437069054,0.6673635126691085
1,l1,1.8823908315505231,0.02332179476554436,0.03174124327088489,0.00992740642709349,0.8602496961512412,0.8050713153724247,0.5900000000000001,0.48760330578512395,0.7468354430379747,0.4877949113038628,0.8669712874343933,0.6543861964732078
2,l1,1.3185688334415355,0.0306122616075143,0.02019823264741186,0.020525448647199466,0.8872942214580131,0.8026941362916006,0.5938009787928221,0.48404255319148937,0.7679324894514767,0.4941421889437889,0.8757600082329937,0.6832217061403845
3,l2,2.3926250098292003,0.03729294140816894,0.03586740637653537,0.030564265420239302,0.9422895852709057,0.7979397781299524,0.5906902086677367,0.47668393782383417,0.7763713080168776,0.491012481868707,0.8732242461665123,0.6736477478545301
4,l2,1.549476755546202,0.024190083165691604,0.01053940646630401,0.022806581551451474,0.9737222677654666,0.8019017432646592,0.5941558441558442,0.48284960422163586,0.7721518987341772,0.4949504662121201,0.8765750746115055,0.6822180093903101
5,l2,2.9255147917470414,0.043771121376075306,0.033980814317792395,0.0006066504376673111,0.8237287849382353,0.8312202852614897,0.6091743119266055,0.538961038961039,0.70042194092827,0.5108980832238481,0.8550005145621076,0.6373286313241103
6,l1,1.8066281644733684,0.02007049888645285,0.021492333921200854,0.038137515961699654,0.9243931216966156,0.7916006339144216,0.5818759936406994,0.46683673469387754,0.7721518987341772,0.4795926043451455,0.8676587424102089,0.6707963826519592
7,l1,1.0679206585412133,0.024329604678419197,0.008531770870858608,0.026836932604496627,0.8302643450099667,0.7979397781299524,0.5840130505709625,0.47606382978723405,0.7552742616033755,0.4808335476258794,0.8758958526294125,0.6779068923654449
8,l1,0.7788952514224602,0.004233210881519551,0.04335406604492828,0.036366514696712364,0.8365503625193961,0.7979397781299524,0.592,0.47680412371134023,0.7805907172995781,0.49305086151249083,0.8752454461253474,0.6896064379878566
9,l2,2.7253115583556466,0.015584803397728211,0.04895565262763343,0.021275905765121315,0.8648348035875637,0.7979397781299524,0.5867098865478119,0.4763157894736842,0.7637130801687764,0.4849027358837519,0.873335391581764,0.677946447002412
10,l2,2.4617809198247067,0.04158958175781776,0.015870437403836687,0.014911226697825773,0.8175535541442593,0.8026941362916006,0.5870646766169154,0.48360655737704916,0.7468354430379747,0.48408516343061475,0.8723103838633322,0.6724787311943978
11,l2,3.154707648896333,0.041133223295035104,0.03409377447828333,0.0023733676616666094,0.851088694223541,0.8328050713153724,0.6114180478821362,0.5424836601307189,0.70042194092827,0.5138066142822054,0.8558649789029535,0.6410095220759021
12,l2,2.953661267014171,0.043957001029711056,0.03056866688394101,0.00637086800636374,0.8241434883648135,0.8090332805071315,0.5823223570190642,0.49411764705882355,0.7088607594936709,0.4762920241136139,0.8542101471647626,0.6290584184494352
13,l2,3.7334122834070538,0.046115903531891905,0.032236549208397504,0.00278838717555916,0.8431717104767573,0.8335974643423137,0.6125461254612546,0.5442622950819672,0.70042194092827,0.5152693079170043,0.8558732118966759,0.6438737996320218
14,l2,3.043264226546075,0.048064652698104324,0.033786279737665174,0.0027349940393888777,0.8308633041272743,0.8431061806656102,0.6292134831460675,0.5656565656565656,0.7088607594936709,0.5367450757866843,0.856453637954101,0.6473974930551719
15,l1,3.858683908128739,0.04371677949807127,0.036772652835019924,0.0010779352901302776,0.8281882085661552,0.8312202852614897,0.6091743119266055,0.538961038961039,0.70042194092827,0.5108980832238481,0.8549840485746629,0.6364433763919481
16,l2,3.0842757192072146,0.04827704020579468,0.006430165604521083,0.0012231183127365433,0.8490098699011139,0.8320126782884311,0.6074074074074074,0.5412541254125413,0.6919831223628692,0.5087118097444921,0.8553133683235566,0.6363003995314589
17,l1,3.765401782823792,0.04819162843010302,0.00034766796480561476,0.0036837591649183494,0.8029127975336612,0.8391442155309033,0.6247689463955638,0.555921052631579,0.7130801687763713,0.5309716176196204,0.8569764330554698,0.6450808643818389
18,l1,2.904827438221151,0.04990189369589785,0.030831156814866558,0.003684328537062393,0.8183319639385674,0.8351822503961965,0.6148148148148147,0.5478547854785478,0.70042194092827,0.5182117883456382,0.8576186065658125,0.6474008842295504
19,l2,3.5744530942077923,0.04818181913462368,0.012030439084689407,0.006611857419512713,0.8028302163142192,0.8098256735340729,0.5833333333333333,0.49557522123893805,0.7088607594936709,0.47759516906815497,0.8526582278481012,0.6268916813422146
