# {'objective': 'binary:logistic', 'scale_pos_weight': 4.140197789412449, 'eval_metric': 'auc'}
# main_metric=mcc
# [Integer(name="max_depth", low=3, high=10),Real(name="eta", low=0.01, high=0.2),Real(name="subsample", low=0.5, high=1)]
,max_depth,eta,subsample,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,4,0.010245627100247498,0.6151889696314936,0.045778337677533386,0.0306163943901336,0.04779088613544622,0.834634085345585,0.7678288431061807,0.556732223903177,0.4339622641509434,0.7763713080168776,0.44834329446636306,0.8542471956365133,0.6393514837562811
1,9,0.042183668929777964,0.5939661163919436,0.006077979851894584,0.0012125012979024188,0.04328533613230471,0.8028423645404397,0.8724247226624405,0.6596194503171248,0.6610169491525424,0.6582278481012658,0.5811235553950242,0.8895049912524442,0.7401029334454964
2,4,0.17863848793778261,0.9214323203171502,0.018793692512350645,0.026389361167506925,0.026349897309674287,0.8238937871614607,0.8375594294770206,0.6265938069216758,0.5512820512820513,0.7257383966244726,0.5333657476778461,0.8918472779664506,0.7377122162651765
3,4,0.07498353783319552,0.8323996397942277,0.02127711996113351,0.012194552453249631,0.022184928991030514,0.9543867130636117,0.8280507131537242,0.631578947368421,0.5284090909090909,0.7848101265822784,0.5424175805042738,0.8871791705258826,0.7225842347973581
4,10,0.14118631112018598,0.7668808522724204,0.041137232133088605,0.016111282018588285,0.048794909331175355,0.8602016813273923,0.8890649762282092,0.6698113207547169,0.7593582887700535,0.5991561181434599,0.6103831205288345,0.8924194710301533,0.7395563975723451
5,5,0.14364123511945012,0.6379269825641322,0.031056027818973854,0.039600967218897574,0.00792793257495188,0.8263780870644709,0.8510301109350238,0.6425855513307984,0.5847750865051903,0.7130801687763713,0.5539647407613161,0.8941154677369558,0.7236909280025706
6,7,0.13965769118162966,0.509661920038723,0.04399367537251225,0.04210738641045162,0.004250071775694659,0.9197253363553956,0.8597464342313788,0.6257928118393236,0.6271186440677966,0.6244725738396625,0.5394957462899571,0.880263455799115,0.713188413478158
7,4,0.1393651943476209,0.8258603995236102,0.002446101576458693,0.03449619561810351,0.0012853292655881146,0.8173268509404372,0.8304278922345484,0.6219081272084805,0.5349544072948328,0.7426160337552743,0.5278452626420214,0.891447977770917,0.7360365498168983
8,6,0.10473160372269046,0.676088177484268,0.043234317141464064,0.00898506874458136,0.011901265649379364,0.9034021261644083,0.8629160063391442,0.6574257425742575,0.6194029850746269,0.70042194092827,0.5738320012097773,0.896474220438407,0.7451360949002458
9,3,0.13276417996931755,0.637285356730225,0.01648103595217121,0.020988430570905263,0.04054765222817137,0.9124011326980013,0.8193343898573693,0.6174496644295301,0.5125348189415042,0.7763713080168776,0.5242751470177822,0.878003499022332,0.7065321760916873
10,10,0.05068467385621846,0.5121715447520996,0.023853809692664034,0.01745532432375987,0.04325352369229642,0.8308726978034023,0.8676703645007924,0.6329670329670329,0.6605504587155964,0.6075949367088608,0.5531409689897867,0.8880642173510341,0.732747234571465
11,10,0.03333642154833834,0.6551598312038025,0.04701292862607457,0.0293903314771784,0.03982095237826635,0.8135525463994283,0.8660855784469097,0.6318082788671022,0.6531531531531531,0.6118143459915611,0.5505140279743449,0.8895626222085006,0.728797860352207
12,7,0.17193702251852092,0.7169608550588349,0.040207417471792295,0.005956108613243184,0.049628553429887624,0.8282370857269828,0.8779714738510301,0.6622807017543859,0.6894977168949772,0.6371308016877637,0.588637256619361,0.8891180405474941,0.7225930596172639
13,8,0.17669058303502821,0.6670668050525859,0.03538303437955693,0.01988408688754482,0.04630061872967488,0.9989292954063298,0.8827258320126783,0.6589861751152074,0.7258883248730964,0.6033755274261603,0.592566956118562,0.877859421632191,0.7264945558563582
14,6,0.16568622330832714,0.7203503637564159,0.039561837435932605,0.018187353986419512,0.046124369892434396,0.8128412469736934,0.8660855784469097,0.6471816283924844,0.640495867768595,0.6540084388185654,0.5645990112014199,0.8836060512503859,0.7305649230752438
15,8,0.10291467644207236,0.7302050761210892,0.04740208920553211,0.029665203658985777,0.048627816233222966,0.8058857886044812,0.873217115689382,0.6521739130434784,0.672645739910314,0.6329113924050633,0.5751406265257912,0.8895091077493054,0.7342974399574684
16,5,0.19439291337159245,0.5768914130167581,0.030609652555031727,0.0024673501913898338,0.04925585813240524,0.9264689009419345,0.8510301109350238,0.626984126984127,0.5917602996254682,0.6666666666666666,0.5358078745675879,0.8787238859730371,0.7203803020691456
17,10,0.046373034433819946,0.8318916479209346,0.040078569041548315,0.021764093875166063,0.04731627209044565,0.8949131199941471,0.884310618066561,0.6681818181818181,0.7241379310344828,0.620253164556962,0.6012624889820034,0.8922465781619842,0.7403401230830058
18,10,0.040482816665205916,0.9446378201750159,0.04918049609589221,0.024816035865783775,0.04974440362625047,0.9209171463232975,0.8866877971473851,0.680089485458613,0.7238095238095238,0.6413502109704642,0.6131967498081651,0.89455181640424,0.7475839398166101
19,10,0.08204968688287873,0.8552870280609326,0.042859244753940935,0.03794942201286685,0.048415300190929225,0.867354055288187,0.8922345483359746,0.6792452830188679,0.7700534759358288,0.6075949367088608,0.621804753743905,0.888562313471236,0.7480202007271001
