# class_weight=balanced
,max_depth,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
4, 7,0.8272727272727273,0.8251046025104604,0.8135313531353136,0.8370118845500849,0.6548190937774234,0.9108672413463141,0.9069065405662438
5, 8,0.8239669421487603,0.8211586901763225,0.8122923588039868,0.830220713073005,0.648037370284272,0.9092432655583168,0.9059087429858633
6, 9,0.8363636363636363,0.8338926174496644,0.824212271973466,0.8438030560271647,0.6728788712552461,0.9160973182527771,0.9122506625732035
7, 10,0.8330578512396695,0.8282312925170068,0.8296422487223168,0.8268251273344652,0.6658564289781008,0.9187957426681868,0.9165772937359191
8, 11,0.8454545454545455,0.8405797101449275,0.8441780821917808,0.8370118845500849,0.6906487238858455,0.9228447462742878,0.9186629381254543
9, 12,0.8421487603305785,0.8366124893071001,0.843103448275862,0.830220713073005,0.6840279931057219,0.9244769239602044,0.9241490084211562
10, 13,0.8429752066115702,0.8373287671232875,0.844559585492228,0.830220713073005,0.685686965331637,0.9241625178733025,0.9211074506161119
11, 14,0.8454545454545455,0.8403074295473955,0.845360824742268,0.8353140916808149,0.6906443426042748,0.9282388611391341,0.9268050958152506
12, 15,0.8504132231404958,0.843560933448574,0.8591549295774648,0.8285229202037352,0.7007654368815156,0.9279080512563941,0.9262594294589804
13, 16,0.8396694214876033,0.8336192109777015,0.8422876949740035,0.8251273344651953,0.6790798066917738,0.929460943929092,0.9274685380313263
14, 17,0.8495867768595041,0.842832469775475,0.8576449912126538,0.8285229202037352,0.6990827045973963,0.9301499033543028,0.9296069383657881
15, 18,0.8495867768595041,0.8422876949740035,0.8601769911504424,0.8251273344651953,0.6991989318336126,0.9324792423633496,0.9304110929557866
16, 19,0.8429752066115702,0.8356401384083044,0.8518518518518519,0.8200339558573854,0.6858830187005742,0.9292476945831932,0.9281464607519886
17, 20,0.8446280991735537,0.8368055555555556,0.8561278863232682,0.8183361629881154,0.6893238272847806,0.9305326585905312,0.9305001695845685
18, 21,0.8504132231404958,0.8430182133564613,0.8617021276595744,0.8251273344651953,0.700890101498495,0.9316317129117012,0.9294761383965744
19, 22,0.8462809917355372,0.8388214904679376,0.856637168141593,0.8217317487266553,0.6925705451328493,0.9323890214862386,0.9307734685358304
20, 23,0.8413223140495868,0.833910034602076,0.8500881834215167,0.8183361629881154,0.68256953447859,0.9299311860764581,0.9280627109728645
21, 24,0.8454545454545455,0.8366812227074236,0.8615107913669064,0.8132427843803056,0.6912791599395632,0.9327499049946825,0.9326198114570371
22, 25,0.8462809917355372,0.8379790940766552,0.8604651162790697,0.8166383701188455,0.6927982512481603,0.9328018503481706,0.9331927754186833
23, 26,0.8479338842975207,0.8394415357766143,0.8635547576301615,0.8166383701188455,0.6962069411138748,0.9327622078415612,0.9322938604089303
24, 27,0.8471074380165289,0.8387096774193549,0.8620071684587813,0.8166383701188455,0.6945014157373557,0.9343301373271108,0.9343971126780314
25, 28,0.8363636363636363,0.8266199649737302,0.8535262206148282,0.801358234295416,0.6731799456657158,0.9292504285491663,0.9287824240060785
