# fix_model_params={'weights': 'distance'}
# main_metric=mcc
# model_params=[Integer(low=3, high=60, prior='uniform', transform='identity')]
# preprocessing_params=None
,n_neighbors,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,39,0.04090813838575408,0.04500049219973673,0.03376704867036874,0.9078382462423875,0.7925619834710744,0.7811682650392328,0.8028673835125448,0.7606112054329371,0.58504153632093,0.8852718519065312,0.8861007047432121
1,36,0.004560232954724298,0.021335357331656823,0.04733661201015959,0.8780926496936613,0.7884297520661157,0.773851590106007,0.8066298342541437,0.7436332767402377,0.5773900756676007,0.8846293699028621,0.8852758154454581
2,7,0.01188536549825949,0.012272356189482804,0.049659844620260636,0.8439359485699305,0.7933884297520661,0.7895622895622896,0.7829716193656093,0.7962648556876061,0.5867486510627694,0.8779448230987319,0.8646414416984526
3,52,0.017164389820991752,0.049989061303911494,0.026771095340807072,0.8836495453763531,0.7859504132231405,0.767713004484305,0.8136882129277566,0.7266553480475382,0.5735572154916627,0.8801525006219773,0.8806910800993291
4,23,0.017748346176674232,0.039523589426473105,0.04747877049006522,0.826312636278524,0.7892561983471075,0.7765118317265557,0.802536231884058,0.7521222410865874,0.5786217641217827,0.8874590246849787,0.8877272913247309
5,42,0.007641565031073112,0.024354561690269238,0.02095086828657623,0.9655006887780359,0.7958677685950413,0.7850304612706701,0.8053571428571429,0.765704584040747,0.5916136043962381,0.8866552386888993,0.8864562670640631
6,15,0.035992932246738156,0.015060704914006032,0.030969477261648094,0.9966243355783383,0.7933884297520661,0.7837370242214533,0.798941798941799,0.769100169779287,0.5864784920410507,0.884693618103229,0.881313015357792
7,18,0.015144261291814723,0.003450699862936097,0.005302606465529881,0.936760082854759,0.7958677685950413,0.7831431079894645,0.8109090909090909,0.7572156196943973,0.5919888389343654,0.8867974049194983,0.8853019878192462
8,22,0.03850218090045951,0.04071337641979414,0.04966799571547669,0.9042554460198672,0.7958677685950413,0.7846556233653007,0.8064516129032258,0.7640067911714771,0.591675468406774,0.8869040295924476,0.8870396767833189
9,41,0.04471828953924329,0.0010816952590431198,0.027773503249863794,0.8449435814499865,0.7892561983471075,0.7717099373321397,0.8162878787878788,0.7317487266553481,0.5800649700254877,0.885359338817669,0.8857728500781441
10,59,0.014878392814249006,0.029886260636709423,0.0356124456362325,0.9394733853138759,0.7909090909090909,0.7766990291262135,0.8088235294117647,0.7470288624787776,0.5823218295296426,0.8845910943792393,0.8846599819940794
11,22,0.007286111149309667,0.04964079163129461,0.0009564246372557597,0.9220705382795309,0.7933884297520661,0.7795414462081128,0.8110091743119267,0.7504244482173175,0.5872535464899268,0.8856354693809481,0.8846503057373255
12,43,0.016396815762113003,0.02021486906643643,0.009183460988340665,0.9354494080401127,0.7859504132231405,0.7634703196347032,0.8260869565217391,0.7096774193548387,0.5755295606987548,0.8816684847540387,0.8814713380377794
13,30,0.005283329908032653,0.02185133327029251,0.003885103388644768,0.9464877378587984,0.7884297520661157,0.7710196779964222,0.8147448015122873,0.7317487266553481,0.5783191821335446,0.8830874130940565,0.8816363876584014
14,21,0.016716645907342013,0.020806150722512587,0.009064786777313717,0.9814669279227599,0.7876033057851239,0.7707404103479036,0.8120300751879699,0.733446519524618,0.5764272335396723,0.8885580790061487,0.8867542856239694
15,9,0.017122616196185023,0.00424367405166532,0.010822997929650665,0.9733045683235808,0.7867768595041322,0.7775862068965518,0.7898423817863398,0.765704584040747,0.573173469920735,0.8866265320461822,0.885923748503888
16,10,0.01422030728243406,0.008803465171229432,0.0015656635702743342,0.9269374576746662,0.7933884297520661,0.7874149659863945,0.7887563884156729,0.7860780984719864,0.5864546759998929,0.8861849965415332,0.884776306692142
17,5,0.013442771819006074,0.0052446078970426425,0.011425947963933389,0.936103278209304,0.7776859504132232,0.7706734867860188,0.773972602739726,0.767402376910017,0.5549823587046296,0.8804217962703237,0.8692141097973752
18,6,0.013420799908978594,0.005170626817696873,0.004737430272455307,0.9238463687694025,0.8049586776859504,0.8006756756756755,0.7966386554621848,0.8047538200339559,0.6097767784627571,0.882115488190634,0.8702526659181885
19,12,0.01335507381473738,0.007502689447720463,0.004246856842796477,0.9121210626318238,0.7867768595041322,0.7768166089965399,0.7918871252204586,0.7623089983022071,0.5732245551531143,0.8852267414679756,0.8845534972651135
