# fix_model_params={'objective': 'binary:logistic', 'eval_metric': 'aucpr'}
# main_metric=mcc
# model_params=[Real(low=0.01, high=1.0, prior='uniform', transform='identity'), Integer(low=100, high=10000, prior='uniform', transform='identity'), Integer(low=128, high=1024, prior='uniform', transform='identity'), Integer(low=5, high=50, prior='uniform', transform='identity'), Integer(low=1, high=10, prior='uniform', transform='identity'), Real(low=0.5, high=1, prior='uniform', transform='identity'), Real(low=1, high=10, prior='uniform', transform='identity'), Real(low=0.5, high=1.0, prior='uniform', transform='identity'), Real(low=0.5, high=4.0, prior='uniform', transform='identity'), Real(low=0.5, high=4.0, prior='uniform', transform='identity')]
# preprocessing_params=None
,learning_rate,n_estimators,max_bin,max_depth,min_child_weight,subsample,scale_pos_weight,colsample_bytree,lambda,alpha,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,0.21245547677740795,8513,330,12,8,0.5213696084814767,2.9894898843651787,0.7574685986837322,2.949099622225278,3.5955880007128513,0.027191467137849666,0.04119945819342725,0.008687452789464525,0.9741196685877012,0.8037766830870279,0.7955517536355858,0.7673267326732673,0.8259325044404974,0.6089282005335688,0.8808997600097621,0.8547107377616782
1,0.6136801684559671,8396,770,9,4,0.6371753623596365,7.227988310964625,0.5694657789504722,3.916719520369073,3.3406618125646896,0.001983419815554266,0.03348027266072222,0.04997457839618548,0.8047532539770036,0.7963875205254516,0.7858376511226253,0.7647058823529411,0.8081705150976909,0.5928886035218777,0.8684365381747183,0.8288276646065739
2,0.05016252329053722,4579,927,18,1,0.5708390315629309,8.193389349094524,0.9704833281612957,0.6272044291200265,2.0778095192007893,0.009885277096795599,0.03502392759308754,0.03899739066126024,0.8801195951564544,0.8078817733990148,0.805324459234609,0.7574334898278561,0.8596802841918295,0.6220143628592517,0.8909305384187761,0.8540690040695122
3,0.21706501438115694,4470,830,39,5,0.7782680887735558,2.6473209080661144,0.8281590873507514,3.1874684671894764,1.3771780888486465,0.011341139223919069,0.0037855473267228166,0.03243878760836574,0.8744286726985997,0.8070607553366174,0.7961838681699914,0.7779661016949152,0.8152753108348135,0.6138164289135819,0.8831179748620395,0.8508874710105493
4,0.3155222920929026,1806,679,39,1,0.6528021433246302,3.654272063150308,0.7072709453395281,1.2557390950078973,1.0821515996743352,0.0043999237712213654,0.005222359354307499,0.022949926514151984,0.9857543792379663,0.8103448275862069,0.8017167381974248,0.7757475083056479,0.8294849023090586,0.6216382645375613,0.8775968435182299,0.8481416173147757
5,0.348579539014398,8343,711,8,9,0.5637208732370484,3.8753554043517817,0.5865921670859547,1.57897039146087,2.4088660897035936,0.04192990354160209,0.04059100140588045,0.015058501400930482,0.8645718022084528,0.7955665024630542,0.7844155844155845,0.7652027027027027,0.8046181172291297,0.5909423106121385,0.8715021761826637,0.8327062993468614
6,0.27559615103294094,5748,997,12,5,0.8303266553120767,3.3683722405608725,0.5745111509819502,2.3381562526390582,3.4978442373455816,0.025562030516647172,0.005547502292192204,0.03933973847679076,0.9742302846135944,0.8054187192118226,0.7979539641943734,0.7672131147540984,0.8312611012433393,0.612712656457593,0.8835301614849566,0.8512299680338548
7,0.8887879263726151,8755,597,24,5,0.8632754464861184,4.445648178510248,0.8785334774297545,1.148595715374675,1.804986617038392,0.008645023856409048,0.03967532565839187,0.04034122724571846,0.9741717672138187,0.7898193760262726,0.781569965870307,0.7520525451559934,0.8134991119005328,0.5812993776144316,0.8571271677084321,0.8132399618592936
8,0.34990683781220255,4339,352,12,6,0.931503558845064,6.178607653786549,0.7335787201691901,3.6913003514356113,1.2858714331138066,0.044211998424084964,0.024238901547554953,0.0171849472000882,0.8973428026889386,0.8177339901477833,0.8105802047781571,0.7799671592775042,0.8436944937833037,0.637288552795425,0.8858351524683742,0.8581567945586841
9,0.3615913118482587,351,823,19,4,0.5680717377128296,1.0632826298676736,0.7244305334907168,3.0829057151553476,1.7663088451305633,0.007262138936486913,0.012886822363566405,0.014861548056020187,0.838994279386021,0.8095238095238095,0.7957746478873241,0.7888307155322862,0.8028419182948491,0.6174230123074957,0.8795669328705273,0.8482781890042979
