# fix_model_params={'verbose': 0}
# main_metric=mcc
# model_params=[Integer(low=4, high=12, prior='uniform', transform='identity'), Real(low=2.0, high=10.0, prior='uniform', transform='identity'), Real(low=1, high=6, prior='uniform', transform='identity')]
# preprocessing_params=None
,max_depth,l2_leaf_reg,scale_pos_weight,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,7,4.91851085314836,2.833167611939418,0.015116384566315592,0.029536083569675593,0.030027393222144448,0.9206174532583242,0.7963875205254516,0.8009630818619583,0.7306002928257687,0.8863232682060391,0.6081843117541371,0.8919582932219706,0.8694689782444182
1,8,6.148760305805908,2.41037564887179,0.021035989492102822,0.01176055374616474,0.03572722249129144,0.923400758219259,0.7972085385878489,0.7993501218521527,0.7365269461077845,0.8738898756660746,0.6063107690305707,0.8935148400743022,0.8728669816200969
2,10,6.124102420529893,4.650159049709105,0.0011828316371031492,0.014226733946256013,0.039966743356773915,0.9209461472315079,0.7931034482758621,0.8025078369905956,0.7180925666199158,0.9094138543516874,0.6097795979224788,0.8937670332054289,0.8714420860596214
3,6,8.213612477400517,3.311556150756916,0.009136423742696355,0.016905177587411738,0.03790883692665963,0.9790185334626906,0.7873563218390804,0.7987567987567987,0.7099447513812155,0.9129662522202486,0.6014846698606199,0.8901522649926105,0.8678578103585869
4,9,2.22894256748637,5.537890178710671,0.009767193361322486,0.02733343971595742,0.04500191325508815,0.8865606966806616,0.7799671592775042,0.7909516380655226,0.7051460361613352,0.9005328596802842,0.5848400871235131,0.8935744986644611,0.8719764279579583
5,10,4.227561766690501,4.092238306547144,0.02370117193453373,0.011761550955732905,0.039479440638927076,0.9494303403032602,0.7939244663382594,0.7996807661612132,0.7260869565217392,0.8898756660746003,0.6049832595067935,0.8945561536479871,0.8739227148291857
6,12,5.549492138693907,1.8160342306477748,0.03851887095380974,0.02193946924853142,0.04634204034903909,0.8674660394879986,0.812807881773399,0.8071065989847717,0.7705977382875606,0.8472468916518651,0.6287367217846493,0.8957059373855979,0.8756488340962933
7,9,3.8918246780299275,5.568585538573437,0.016332931344355876,0.018483921234855902,0.04609641084923419,0.8652897331724434,0.7865353037766831,0.7978227060653188,0.7095435684647303,0.911190053285968,0.5994892072082881,0.891651865008881,0.868980986996239
8,8,5.831368210929456,1.87671996485455,0.0327896970440966,0.044414365977649466,0.00251760926129801,0.9957978373191204,0.812807881773399,0.8131147540983606,0.7549467275494672,0.8809946714031972,0.6353551204565365,0.8991634238607245,0.880041317984401
9,5,3.4872420115594913,4.924404128353405,0.02337013650334143,0.048907107233030774,0.019371926337623826,0.8813267338841511,0.7651888341543513,0.7862481315396114,0.6787096774193548,0.9342806394316163,0.5742912551867808,0.8910769731400756,0.866644725864489
10,9,4.893884652402601,1.662767218532602,0.04002495623653582,0.040939019136690825,0.017337217627532413,0.8539875837134203,0.8152709359605911,0.8110831234256927,0.7691082802547771,0.8579040852575488,0.6350207603568442,0.8998928857131236,0.8799801105529809
11,5,2.0446984906364776,1.0917733740139448,0.043603074694679694,0.039012915653861495,0.01599139645486339,0.8890132692986199,0.8144499178981938,0.8048359240069084,0.7831932773109244,0.827708703374778,0.6291264699482187,0.8951934158610498,0.8728983119619855
12,11,2.9882095800717536,1.906260436987365,0.03044780055198116,0.03972585066076931,0.012650196443004394,0.8703893266295546,0.8119868637110016,0.8077246011754828,0.7659235668789809,0.8543516873889876,0.6284305904926203,0.8992420647295704,0.8800148964803002
13,8,2.2489929064701073,3.4953152487532164,0.04193562249189886,0.04385867763737632,0.012764821190317906,0.8108536386098988,0.7988505747126436,0.8060174188440222,0.7271428571428571,0.9040852575488455,0.6176670330094304,0.9008203056146868,0.8863042711909623
14,4,8.633756754771584,1.5461684462437273,0.024041949792239614,0.04971429494292366,0.0062125292726577805,0.8077556116004121,0.8078817733990148,0.8078817733990148,0.751145038167939,0.8738898756660746,0.6250349138340136,0.8921806570580181,0.8668146064424905
15,4,5.267178431955508,2.146632336439474,0.02959279580752815,0.03412832525810562,0.00942150703894434,0.8148452095498224,0.7988505747126436,0.8060174188440222,0.7271428571428571,0.9040852575488455,0.6176670330094304,0.894257860697192,0.874107601900179
16,9,2.8218971754862014,1.3172863797260879,0.022771225183104874,0.047018679023645774,0.014745555127212215,0.9092197143227745,0.8169129720853858,0.8095644748078565,0.7796052631578947,0.8419182948490231,0.6355182847821,0.8996325573197023,0.8833539848719649
17,11,3.0947382755491972,1.8760609740514327,0.023233068205990432,0.04804787478629839,0.0215418340559114,0.996412026080598,0.8218390804597702,0.8153191489361702,0.7826797385620915,0.8507992895204263,0.6459032450027152,0.8985614144509375,0.8779796803276558
18,9,2.0470151011767586,1.6982536244713224,0.017961620666709647,0.04607611913883189,0.04843045147516636,0.9432205543785608,0.8087027914614121,0.8033755274261604,0.7652733118971061,0.8454706927175843,0.620932891163183,0.8944992068119263,0.8708790090465036
19,10,3.4726537871672534,2.5476794598590837,0.02486987937198845,0.045541666666365034,0.020702517542897213,0.9449803660111659,0.8021346469622331,0.8022969647251845,0.7454268292682927,0.8685612788632326,0.613676834222777,0.8968475858609141,0.8761937658130711
20,12,6.398635445347174,1.8685047339766716,0.012595459404122331,0.0489060206504554,0.022444293365220316,0.9964789282293517,0.8169129720853858,0.8114961961115806,0.7741935483870968,0.8525754884547069,0.6371139778024842,0.8948571583528807,0.8725742573864506
21,11,4.567199365759507,1.8769515033811854,0.0009988814344415288,0.021484780591547917,0.01799241194779064,0.9836874940569004,0.8087027914614121,0.8046940486169322,0.7619047619047619,0.8525754884547069,0.6221564798497978,0.8968286035822273,0.8755747549566719
22,4,4.758940411833027,1.9773942642206104,0.002682763662429089,0.04993680453908217,0.026227598409402014,0.988549515005042,0.7988505747126436,0.8032128514056225,0.7331378299120235,0.8880994671403197,0.6129128269222032,0.8911908668121974,0.867533924641839
23,12,3.310525299647799,3.78256276302931,0.0008018489367990546,0.048009060157324264,0.020539100707485356,0.9847176363714598,0.8045977011494253,0.8065040650406505,0.7436281859070465,0.8809946714031972,0.620977637368776,0.8941954903529348,0.8695824460327232
24,11,4.050590800138851,1.9402969043833505,0.023805791241763186,0.04299301483929713,0.04173427354119786,0.8535244122760766,0.8152709359605911,0.8113998323554066,0.7682539682539683,0.8596802841918295,0.6353382427105424,0.8987431019755129,0.8782047357371137
25,12,2.504044436377903,2.4253965161558027,0.04646986265749679,0.04846131868228718,0.01622546823740795,0.9935217183959347,0.80623973727422,0.8052805280528054,0.7519260400616333,0.866785079928952,0.6205495483128709,0.8965275988773338,0.8774727123603802
26,11,4.63115877569089,4.0731724276400385,0.005098490725538491,0.04511033283394221,0.021979759392436092,0.8441292045613952,0.8004926108374384,0.8054443554843875,0.7332361516034985,0.8934280639431617,0.6172381387951626,0.8971729963526907,0.8736611802037334
27,11,3.1666683434579745,1.6773771785650713,0.026992069562037767,0.0032498475462354186,0.02091241143740343,0.9968559028849706,0.8119868637110016,0.8057675996607294,0.7711038961038961,0.8436944937833037,0.6266734587631092,0.8973384133526772,0.8799387734741482
