# fix_model_params={'objective': 'binary:logistic', 'eval_metric': 'aucpr'}
# main_metric=mcc
# model_params=[Real(low=0.01, high=1.0, prior='uniform', transform='identity'), Integer(low=100, high=10000, prior='uniform', transform='identity'), Integer(low=128, high=1024, prior='uniform', transform='identity'), Integer(low=5, high=50, prior='uniform', transform='identity'), Real(low=0.01, high=0.2, prior='uniform', transform='identity'), Real(low=0.5, high=1, prior='uniform', transform='identity'), Real(low=1, high=10, prior='uniform', transform='identity'), Real(low=0.5, high=1.0, prior='uniform', transform='identity'), Real(low=0.5, high=4.0, prior='uniform', transform='identity')]
# preprocessing_params=None
,learning_rate,n_estimators,max_bin,max_depth,eta,subsample,scale_pos_weight,colsample_bytree,lambda,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,0.6259296917687647,1104,626,17,0.17156335672987189,0.7570732879597495,1.2288720823810193,0.6520894312818558,1.204652266483242,0.0045120512393359135,0.008986339157982089,0.0004948509493055198,0.9894508203004223,0.7922824302134647,0.7778753292361722,0.7690972222222222,0.7868561278863233,0.5829914499267733,0.8668623649207489,0.8311033389146765
1,0.9617815449858249,1599,963,5,0.18719809949338703,0.7420501332697371,2.46906535097162,0.7245005580240174,0.8446377054080267,0.04422484694351865,0.014866519411377541,0.016468544772916108,0.8232426703044334,0.7733990147783252,0.7553191489361702,0.7539823008849558,0.7566607460035524,0.544314177594254,0.8476455195042912,0.8067699726613643
2,0.5333220010903135,8743,872,15,0.09133883101376761,0.945769261725824,3.4937565510715447,0.5130873512139591,1.577548858875539,0.03883290916422746,0.03803963985934288,0.017270960839297394,0.8886646776893896,0.7914614121510674,0.7802768166089965,0.760539629005059,0.8010657193605684,0.5828038835655782,0.8681477363632666,0.8294439597966254
3,0.9611593053161274,1213,279,12,0.1821068369379821,0.7238980521988276,5.434873088186914,0.8765781840350428,2.7184692849960226,0.04611981711063455,0.018120179071922326,0.023195478914445466,0.8593743428996965,0.777504105090312,0.7641427328111401,0.7491467576791809,0.7797513321492007,0.5541327612748858,0.8442463357422749,0.7964079137375044
4,0.31210156533380456,515,247,24,0.1802831478277748,0.9634636943375254,3.307394534520407,0.9892064290969815,1.3115475987606084,0.002685986004579772,0.0009433201845069407,0.03882848717255938,0.8602114608985545,0.8111658456486043,0.8006932409012133,0.7817258883248731,0.8206039076376554,0.6221475232156184,0.8907190215991214,0.8607368757169965
5,0.9303754286315516,6003,899,47,0.055755256559857205,0.8895088756771451,6.038465241963291,0.7394024264173855,3.718061824270172,0.021794644272510908,0.02090348275091207,0.04157655907809161,0.852080430950241,0.7816091954022989,0.7714776632302406,0.7470881863560732,0.7975133214920072,0.5638855531960405,0.8438016080701801,0.7908418949150504
6,0.45157934793497095,4336,852,14,0.011698051839161096,0.5592151672289732,3.625168003809027,0.5380426919510003,3.632508610603928,0.038713105125816084,0.02312329477666461,0.04016213807816841,0.8156283303355447,0.7898193760262726,0.7766143106457243,0.7632933104631218,0.7904085257548845,0.5785929222922248,0.8513985871761148,0.8018683867609648
7,0.2786383172433413,4181,795,9,0.1634824734001405,0.840500217665995,5.476951776691403,0.6661106752485546,2.8977983347843392,0.03967537078707209,0.00907990993189783,0.0315216232924586,0.8609332284629267,0.8095238095238095,0.8017094017094016,0.7726523887973641,0.8330373001776199,0.6205757261628377,0.8787656095345273,0.8375207905494835
8,0.06260357157689263,577,433,22,0.11964533823990849,0.8893766088224268,1.2915880217815618,0.5917919770113217,3.1732048524661844,0.03958845376371303,0.030470762344704885,0.03877812846967011,0.805976865282834,0.8210180623973727,0.8094405594405594,0.7969018932874354,0.822380106571936,0.6410706866774,0.8967662332379699,0.8710097623615556
9,0.37205617184517975,6135,468,40,0.18328416908774858,0.826060609769277,4.337466104112513,0.6466345609620694,2.226025261317782,0.011097611356444678,0.0016993380335419864,0.04292425050913618,0.8091803539941563,0.7733990147783252,0.759581881533101,0.7452991452991453,0.7744227353463587,0.5458033416516512,0.8483858283730831,0.7967207543967691
