# class_weight=balanced
,max_depth,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0, 3,0.6706896551724137,0.6109979633401221,0.5059021922428331,0.7712082262210797,0.3694556340246472,0.7886729416942575,0.6529726493545719
1, 4,0.6948275862068966,0.6193548387096774,0.532347504621072,0.7403598971722365,0.39010492688994847,0.7985189334453635,0.6574521078202111
2, 5,0.718103448275862,0.6464864864864865,0.5578358208955224,0.7686375321336761,0.43677576644382665,0.8139731060719727,0.6797953103220074
3, 6,0.7275862068965517,0.6542669584245077,0.5695238095238095,0.7686375321336761,0.45102093631975215,0.8207516029327918,0.6849807651380551
4, 7,0.7482758620689656,0.670428893905192,0.5975855130784709,0.7634961439588689,0.4809251633476262,0.8285437068008363,0.6965776905560387
5, 8,0.7586206896551724,0.680365296803653,0.6119096509240246,0.7660668380462725,0.49832180253585023,0.8414838673108406,0.7164723606978582
6, 9,0.7758620689655172,0.6969696969696969,0.6375266524520256,0.7686375321336761,0.5273169564522949,0.8472320859965523,0.7245782743705893
7, 10,0.7853448275862069,0.7080890973036342,0.6508620689655172,0.7763496143958869,0.5456742575078403,0.8514132149013566,0.7316688624037735
8, 11,0.7896551724137931,0.7095238095238096,0.6607538802660754,0.7660668380462725,0.54973170303972,0.8556543600105362,0.7385593209560247
9, 12,0.7965517241379311,0.7114914425427873,0.6783216783216783,0.7480719794344473,0.5565328003555123,0.860232262710932,0.7452302725519651
10, 13,0.8120689655172414,0.7321867321867322,0.7011764705882353,0.7660668380462725,0.589234358168041,0.8663505813236241,0.7520666698596664
11, 14,0.8146551724137931,0.7329192546583851,0.7091346153846154,0.7583547557840618,0.592029883745867,0.8659438048273034,0.753267944494656
12, 15,0.8232758620689655,0.7421383647798743,0.7266009852216748,0.7583547557840618,0.6081273403505002,0.8725389188414204,0.7626827785339848
13, 16,0.8241379310344827,0.7397959183673469,0.7341772151898734,0.7455012853470437,0.6070357214377425,0.8722021612502042,0.7649782369430002
14, 17,0.8086206896551724,0.7153846153846153,0.7135549872122762,0.7172236503856041,0.5712344607883014,0.8709684948269366,0.7660237158857691
15, 18,0.8181034482758621,0.7277419354838709,0.7305699481865285,0.7249357326478149,0.5911854164220588,0.8722054954837807,0.7589980309362413
16, 19,0.8155172413793104,0.7213541666666666,0.7308707124010554,0.712082262210797,0.5836130552075021,0.8737659167975353,0.7743477442390619
17, 20,0.8224137931034483,0.7317708333333334,0.741424802110818,0.7223650385604113,0.5991860044806752,0.8739226257756261,0.7673554702848371
18, 21,0.8198275862068966,0.726797385620915,0.7393617021276596,0.7146529562982005,0.5926405930950481,0.8752263111039981,0.7646537714592336
