# fix_model_params={'weights': 'distance'}
# main_metric=mcc
# model_params=[Integer(low=3, high=60, prior='uniform', transform='identity')]
# preprocessing_params=None
,n_neighbors,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,59,0.04168768295333754,0.0348840458638207,0.01034885478961399,0.8533781508815553,0.696551724137931,0.20361990950226244,0.8490566037735849,0.11568123393316196,0.23808917238660288,0.8485841177117823,0.7110172375184893
1,55,0.036384860138805535,0.04009816617740847,0.018482009992645345,0.8009278959986428,0.7034482758620689,0.24890829694323144,0.8260869565217391,0.14652956298200515,0.26140958777413775,0.8533787455946438,0.7165473242341359
2,37,0.02409467047414976,0.042071644119600286,0.04035940045933471,0.8230176304233722,0.7293103448275862,0.38671875,0.8048780487804879,0.2544987146529563,0.34251965875957896,0.8481590029307914,0.709938251850604
3,31,0.019481138799990985,0.038358420566018465,0.048024128450806634,0.9802385109832751,0.7405172413793103,0.4497257769652651,0.7784810126582279,0.3161953727506427,0.3727244622332311,0.8477705647191408,0.7108851641045221
4,52,0.03209118628710884,0.03917937487345552,0.023946299599182812,0.8995385918555214,0.7094827586206897,0.2814498933901919,0.825,0.16966580976863754,0.28227957947582266,0.853162020412178,0.719162322546248
5,44,0.005067255195167326,0.02818080723926137,0.04694824471678865,0.8310451384268274,0.7344827586206897,0.41221374045801523,0.8,0.2776349614395887,0.3571837783914132,0.8429709354859147,0.6986027389049817
6,45,0.03096932496373504,0.04704653198667419,0.04970556754667082,0.9842590602395983,0.7396551724137931,0.4468864468864469,0.7770700636942676,0.31362467866323906,0.3701754140129057,0.8446313838069611,0.7010701702129507
7,47,0.0008444312094047669,0.0034984183511283912,0.006696512187738375,0.8748269646127874,0.7034482758620689,0.2422907488986784,0.8461538461538461,0.14138817480719795,0.2636113921094578,0.8436811272376875,0.7137051651704547
8,3,0.023071511115253966,0.011033010184444938,0.010506839435640366,0.8288975534868205,0.7646551724137931,0.5844748858447489,0.7164179104477612,0.493573264781491,0.44243476273909776,0.8032168685545098,0.6658279111517094
9,50,0.008883349816357085,0.03232350189226159,0.011438355009765602,0.8745446688459426,0.7017241379310345,0.2510822510822511,0.7945205479452054,0.14910025706940874,0.252047023765625,0.8516649495363748,0.7170744553375278
10,27,0.02004579198899426,0.02014340949358802,0.00319015493249078,0.8019046402457785,0.7224137931034482,0.3347107438016529,0.8526315789473684,0.20822622107969152,0.32724600528265885,0.8455866417265996,0.7260753553462659
11,30,0.022478941676621303,0.006869724976634013,0.0034544382006753147,0.8258984210422593,0.7198275862068966,0.3186582809224318,0.8636363636363636,0.1953727506426735,0.3206074395114024,0.8400234730043779,0.7153331984039141
12,8,0.02255606099262525,0.007892017055655239,0.01304960998099299,0.8297943279234553,0.7758620689655172,0.5806451612903227,0.7792207792207793,0.46272493573264784,0.4688303831091652,0.8419006465078904,0.732568347211417
13,16,0.02131667563609506,0.009652145722056074,0.013431521697332669,0.8407259924917133,0.7525862068965518,0.4791288566243195,0.8148148148148148,0.3393316195372751,0.40917553934853595,0.8512815126750889,0.741125671081773
14,4,0.034448011721886156,0.007122037200478755,0.011503767740715229,0.85275853196413,0.7741379310344828,0.6066066066066066,0.7292418772563177,0.519280205655527,0.4673026675876483,0.8130345193202164,0.6844221108716366
15,8,0.04616618783116272,0.03203621111721646,0.01872966499747684,0.8512147771973089,0.7732758620689655,0.5764895330112721,0.771551724137931,0.4601542416452442,0.4619750610062421,0.8400951590262704,0.7313859016145998
16,8,0.0021303874553559535,0.03371538919631583,0.015816897823136174,0.8749190529356529,0.7706896551724138,0.572347266881029,0.7639484978540773,0.45758354755784064,0.4551452122788591,0.8429792710698554,0.7276980432608008
17,3,0.008266706686941934,0.00743330949303312,0.00413835830536657,0.9041435136455338,0.775,0.6063348416289593,0.7335766423357665,0.5167095115681234,0.46908373326047814,0.8031268442479468,0.6939325763964743
18,10,0.03550511041817535,0.006612362790737887,0.004296724636040401,0.8860715717855071,0.7655172413793103,0.5244755244755244,0.819672131147541,0.3856041131105398,0.4439900272809522,0.8451848665806435,0.7444285093081844
19,13,0.035111468336219774,0.006013296525043955,0.008913183708829072,0.9695873596070215,0.7508620689655172,0.48114901256732495,0.7976190476190477,0.3444730077120823,0.40295307921605283,0.8519867030764973,0.7418986379488794
