# fix_model_params={'objective': 'binary:logistic', 'eval_metric': 'aucpr'}
# main_metric=mcc
# model_params=[Integer(low=5, high=50, prior='uniform', transform='identity'), Real(low=0.01, high=0.2, prior='uniform', transform='identity'), Real(low=0.5, high=1, prior='uniform', transform='identity'), Real(low=1.0044411547002219, high=6, prior='uniform', transform='identity'), Real(low=0.5, high=1.0, prior='uniform', transform='identity'), Real(low=0.5, high=4.0, prior='uniform', transform='identity')]
# preprocessing_params=None
,max_depth,eta,subsample,scale_pos_weight,colsample_bytree,lambda,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,45,0.04822215939975171,0.7220915182583576,4.7791107966608415,0.7376415822635155,1.9758724321499186,0.042484014943562194,0.011568037233222247,0.012190721693641578,0.8655765307991321,0.8224137931034483,0.7559241706161137,0.701098901098901,0.8200514138817481,0.6223809784872609,0.8907104918327949,0.7898686375697771
1,18,0.12793117467697257,0.7520355030040748,3.345033005624498,0.8956959846544724,3.6400157190536726,0.0016580619484171059,0.005379075951951674,0.01217015155332585,0.9146591339669521,0.8344827586206897,0.762962962962963,0.7339667458432304,0.794344473007712,0.6372883846277314,0.897839083219136,0.8063116928153707
2,43,0.08725168901127069,0.7549202932369746,2.5173009450706862,0.6042155087577171,2.9762002192900585,0.01243370513865836,0.006598876631468921,0.034624212416678755,0.993828792025266,0.8327586206896552,0.7568922305764411,0.7383863080684596,0.7763496143958869,0.6300099818932428,0.8946315505186401,0.7943546619435689
3,14,0.14836270709316096,0.9855186311716742,2.8801713721308975,0.9543002065432341,2.454650875103635,0.025331752702787213,0.041996461421332176,0.042724864111348876,0.8536961282087998,0.8301724137931035,0.7515762925598991,0.7376237623762376,0.7660668380462725,0.622892462819368,0.8933111940223859,0.7945436086937615
4,46,0.17400394554926193,0.8790279647243264,2.0937647082669764,0.8068151302207175,3.5833348126803335,0.02342781174989303,0.01058182374691912,0.026397982169826095,0.8039024109655436,0.8362068965517241,0.7601010101010102,0.7468982630272953,0.7737789203084833,0.6360434933133138,0.8941447524164858,0.7939139639354376
5,7,0.12958333727522284,0.5621357484173964,5.255243090628818,0.6834511511061224,3.5426395707342575,0.019976070892027523,0.03174840460033419,0.005914336143483835,0.8648253514676032,0.8129310344827586,0.7591564927857937,0.66796875,0.8791773778920309,0.6262632936148519,0.8955484647521497,0.8043937633429471
6,32,0.07941399391240275,0.8279216760007562,2.3433354517299074,0.9139640470372516,0.5471170392085488,0.01829402674645827,0.02700342309732286,0.024178237483173937,0.8199203328630728,0.8405172413793104,0.767879548306148,0.75,0.7866323907455013,0.6469403630801276,0.8942081028544374,0.7970938632161582
7,35,0.08055340509675392,0.7518225120489032,2.862254320697512,0.677629875670788,2.8564236658811555,0.02423035902167885,0.017631699327249627,0.047828522024438914,0.8210475218826309,0.8353448275862069,0.7633209417596036,0.7368421052631579,0.7917737789203085,0.6382999239841141,0.8911272710298448,0.7865712364955049
8,34,0.13465011292062048,0.8748017326090137,1.761738993729523,0.9801571004432375,2.694202659170964,0.012347251013881507,0.024012258803791164,0.03741335379565904,0.9685835554265367,0.8301724137931035,0.7484035759897828,0.7436548223350253,0.7532133676092545,0.6202685145380945,0.8958018665039561,0.7945210056734547
9,5,0.1637598623867253,0.6826575875512073,1.4278447058181973,0.9411378396135824,2.746826418785997,0.007492445715299679,0.03714236522598408,0.007650360881742947,0.9747581643593577,0.8284482758620689,0.7534076827757126,0.7272727272727273,0.781491002570694,0.6230865375342518,0.8914340205188734,0.790817924389208
10,33,0.01597757331115853,0.8864177022513273,5.808773149679999,0.9733896665572435,3.045623628085998,0.046441436017755015,0.02719543262413676,0.026509900598031683,0.8193373284076033,0.8086206896551724,0.7442396313364056,0.6743215031315241,0.8303341902313625,0.6021712494933191,0.8782537951913683,0.7583537685440949
11,31,0.026820898296869025,0.7941804087599666,3.0942579335793803,0.9174039057671308,3.029666098769783,0.028923585965579833,0.024667270899050908,0.039160948118412586,0.8112720487381825,0.8284482758620689,0.7616766467065869,0.7130044843049327,0.8174807197943444,0.6322297340464851,0.885178998329549,0.767140225939693
12,31,0.052680860651914845,0.9208220473555435,3.021622327017423,0.9204604224181865,2.8274789439101142,0.043770876576085825,0.020040462664383068,0.02845768162550742,0.8173154108901195,0.8327586206896552,0.7622549019607843,0.7283372365339579,0.7994858611825193,0.6353340205500134,0.8930744634384618,0.7878434391707867
13,24,0.046570925075789756,0.7046269063807145,3.005507311820326,0.9076375693041279,0.9145540153923226,0.04667449237845978,0.026052669041375893,0.017802171877050268,0.8245309423928958,0.8336206896551724,0.7637698898408813,0.7289719626168224,0.8020565552699229,0.6375399041050035,0.8917074276721382,0.7858091614354537
14,22,0.01949747698387278,0.9847581269408987,3.425045530321105,0.9154825386148882,0.52265760097381,0.012485369314467972,0.02974973774178776,0.015417503779539302,0.8124546610480309,0.8284482758620689,0.7576126674786845,0.7199074074074074,0.7994858611825193,0.6274790146121704,0.8833518383296823,0.7816731111541179
15,10,0.10424026198398532,0.8051588689568119,4.997259403083066,0.9023592358037273,0.9052276184744228,0.04634079683984945,0.01995357372042375,0.034184561143732244,0.8012118245817694,0.8258620689655173,0.7583732057416268,0.70917225950783,0.8149100257069408,0.6269547014715487,0.8922108969421745,0.7932811532071613
16,25,0.03262247233708619,0.625014777201171,2.3178894100229686,0.5423192553639237,2.2418376698367175,0.04818869016800582,0.040623642437194976,0.023925279674216947,0.813016242573956,0.8310344827586207,0.7580246913580247,0.7292161520190024,0.7892030848329049,0.6296934729442433,0.8867294169425743,0.7712417685983188
17,32,0.08940700095297743,0.5794171253280127,4.51211863364799,0.9741669677945215,0.9174653808893527,0.021992578795025922,0.023841125289780433,0.012542977355241904,0.8184895401390687,0.8344827586206897,0.7669902912621359,0.7264367816091954,0.8123393316195373,0.6416681838494046,0.8968954951170149,0.8033555349068974
18,41,0.06623130898323426,0.8624726234155148,5.205737465352019,0.9884538311296913,0.7869391258910847,0.01764013439619662,0.03654723455624948,0.004730902115684239,0.8050150003740104,0.8318965517241379,0.7664670658682635,0.7174887892376681,0.8226221079691517,0.6397367866653414,0.8945882054821468,0.8036638379289045
19,41,0.014649737461112122,0.8891608674410144,3.9444575512948874,0.9826025172119686,0.547892009189017,0.011028633269008572,0.00040530466380841464,0.01860880956772087,0.8513592486838244,0.8120689655172414,0.7308641975308642,0.7030878859857482,0.7609254498714653,0.587921458685058,0.8789206419066481,0.7583101240457512
20,28,0.05030429942099077,0.7763581535463078,4.055586027122077,0.9954544124892049,0.5122175246324483,0.02889094696684341,0.014851339000147531,0.015006966330602532,0.813626584074133,0.8258620689655173,0.7560386473429951,0.7129840546697038,0.8046272493573264,0.6241625789137446,0.8890667146796302,0.7881458521566558
21,49,0.08417495589432893,0.8839658008041839,5.947651093449549,0.9736448128459527,0.5525783803864327,0.014341540971763609,0.004132634239633527,0.043225568391114966,0.8110798294904416,0.8258620689655173,0.7506172839506172,0.7220902612826603,0.781491002570694,0.6183011054190108,0.8954184296426702,0.7986124154559333
22,35,0.042897194653573244,0.7982103744991589,3.901656276760172,0.9937671967154658,0.8373779338225404,0.015967866298828494,0.027521807803666053,0.03197617184161099,0.8387130613097882,0.8224137931034483,0.7469287469287469,0.7152941176470589,0.781491002570694,0.6119732405547205,0.8875596411030977,0.7786995367219809
23,39,0.01406480512513749,0.8748558972151985,1.25928339510223,0.5428839616172645,1.1351501642405792,0.017805597807595105,0.016857221835287848,0.012388111588967979,0.8237455900054214,0.8284482758620689,0.7412223667100131,0.75,0.7326478149100257,0.6130382653158158,0.8870194952637213,0.7843078571506953
24,50,0.07793631558425965,0.9574777414390006,2.718951633181268,0.8644489047325263,0.5696074916107815,0.021814986726845752,0.012113182630797489,0.024998011593156334,0.8415450669787551,0.825,0.7465667915106118,0.7257281553398058,0.7686375321336761,0.6136843814600068,0.8922275681100564,0.7906810740739169
25,21,0.026976117380910637,0.8297107312915042,1.0714065188176085,0.9562140064884169,1.2566537027088436,0.02060558914827984,0.011478228195550024,0.029349648797973575,0.8156401112818252,0.8293103448275863,0.7421875,0.7519788918205804,0.7326478149100257,0.6147589537538484,0.8870895141688256,0.7804641436152691
26,48,0.07769794115096214,0.8138657488442071,5.294761678298588,0.9889324045549104,1.043595166350295,0.011401376990527332,0.03086400966725787,0.020178906470146873,0.8289500585526691,0.8293103448275863,0.7602905569007264,0.7185354691075515,0.8071979434447301,0.6310190396509319,0.8946082108836052,0.804168848857946
27,33,0.013903156038534953,0.620091261118406,2.95258326517603,0.9705117136581076,1.294029444726883,0.03977454855469923,0.025529146091465536,0.03277435201609452,0.810973686565314,0.8232758620689655,0.7515151515151515,0.7110091743119266,0.7969151670951157,0.6174900165328563,0.881661381906448,0.7724753919374916
28,22,0.14273467984106417,0.8534025472861841,5.858490974697784,0.9664723555738526,1.1437814081250812,0.008102213249350072,0.004669165344073907,0.008418777682950247,0.8160668398096902,0.8241379310344827,0.7548076923076924,0.708803611738149,0.8071979434447301,0.6217860350026219,0.8930944688399202,0.8059548561701975
29,40,0.08065064584834324,0.8489818692443712,2.0525305052021934,0.870284112212054,0.7374988098972943,0.04307534855338847,0.04159274653238488,0.002852194709028128,0.918530721973736,0.8275862068965517,0.7506234413965087,0.7288135593220338,0.7737789203084833,0.6196992205661125,0.8911072656283863,0.7922799808913671
30,32,0.06491908451150726,0.6198332376602145,3.5949990297203156,0.7151753952040838,1.3548252657724915,0.022602334703876473,0.0008216657290478548,0.009345419151804193,0.832115300400505,0.8370689655172414,0.7709090909090908,0.7293577981651376,0.8174807197943444,0.6476501638697734,0.8967887996425701,0.7921734860870835
31,26,0.012187063660647193,0.5354297224208627,5.8412657782878235,0.9187064379856308,1.495425766062275,0.03247020921222973,0.017046537934170974,0.001137930775068602,0.8234201247448972,0.8137931034482758,0.7539863325740319,0.6768916155419223,0.8508997429305912,0.6175887473488261,0.8797075210306783,0.7596444367336492
32,36,0.07097557982692462,0.5607109913418464,3.8587537250962836,0.8995348295735606,1.2271841659576985,0.020137431347632632,0.01807586578268229,0.007514878805862597,0.8521338712345696,0.8336206896551724,0.767189384800965,0.7227272727272728,0.8174807197943444,0.6414399804083342,0.8962119772338532,0.8012879293378501
33,35,0.11466190850624312,0.7143553768792537,3.293693458151421,0.9162053013568425,0.80223146109134,0.02141213407036284,0.012791060398490752,0.02254284547179478,0.8145397209176102,0.8413793103448276,0.7711442786069651,0.7469879518072289,0.7969151670951157,0.6507628870548022,0.899536208109523,0.7927938016947232
34,42,0.04050869779542543,0.6141319078012525,2.223297827929564,0.9691658205509368,0.7037045637030118,0.019639223095015056,0.01574749578209905,0.019496923805915587,0.8578401164233052,0.8275862068965517,0.7524752475247525,0.7255369928400954,0.781491002570694,0.6214875770000873,0.8916540799349157,0.7865386888701584
35,35,0.0645824768938669,0.6473032343974764,2.905274151252044,0.584484759859853,0.7562214995648331,0.021771395345441577,0.004746811766891813,0.01791089131554874,0.8371053029080618,0.8396551724137931,0.7675000000000001,0.7469586374695864,0.7892030848329049,0.64584148609131,0.8959052277448244,0.80180958107131
36,38,0.17355418703609674,0.7358912654651768,3.7289107430283956,0.8660319241259207,1.0808798991215223,0.022836864359324038,0.0006378733835951779,0.014125788782170487,0.8381053067027934,0.8310344827586207,0.7580246913580247,0.7292161520190024,0.7892030848329049,0.6296934729442433,0.8943581433653753,0.7918076665096504
37,32,0.09969728491732124,0.6074414287661907,4.117277493795168,0.9733146992883362,1.6998118717569852,0.017606603506345516,0.014580342977076818,0.0008769775466189846,0.8091865681103401,0.8310344827586207,0.7615571776155718,0.7228637413394919,0.8046272493573264,0.6334694079283301,0.8989460487665003,0.8045380571035046
38,33,0.08842788662825884,0.6563627335672679,1.1044468758183354,0.8262211063642231,0.7058042390563192,0.022754413476477203,0.017617031079690246,0.04275445081510292,0.8036450884334587,0.8301724137931035,0.7464607464607466,0.7474226804123711,0.7455012853470437,0.6187888593973584,0.8938380029274571,0.7915445253975246
39,37,0.055850200650371315,0.6665995499396571,3.4335533916316368,0.6168396914824521,0.9364518290943484,0.025161717112501363,0.002343029738221764,0.020659830717325304,0.8301106058094277,0.8301724137931035,0.7594627594627594,0.7232558139534884,0.7994858611825193,0.6306100344362745,0.8922609104458205,0.7841599634075858
40,38,0.06227682027604987,0.6801669506376153,2.8472531893843605,0.9935483116962678,1.37926033064163,0.011784112925173354,0.00046232295363858876,0.0034340301061735862,0.8216780574043107,0.8267241379310345,0.7539779681762546,0.719626168224299,0.7917737789203085,0.6224029475018186,0.8933478705917264,0.7970608757610099
41,34,0.13751327490846646,0.8265179474288866,3.19867797398305,0.8995360107916969,0.7370132365479313,0.015778513566286644,0.017751425159487813,0.02011450786759378,0.94323323271442,0.8275862068965517,0.7518610421836228,0.7266187050359713,0.7789203084832905,0.6208840084899347,0.8967654600075353,0.8021119034894366
42,33,0.06451116804743241,0.8231549469683948,3.2966285521205836,0.5424298550730462,0.8885122409309179,0.021905670518002907,0.036305663268234076,0.01268682603125071,0.8357859495136944,0.8301724137931035,0.7576875768757688,0.7264150943396226,0.7917737789203085,0.6287164423409385,0.8964753816863886,0.7981267165641266
43,33,0.11212080660407299,0.6139579126965872,3.197963715288195,0.9428558583649245,0.6459670837502984,0.015779447517585803,0.01612765341768525,0.02875669535005353,0.8125315461054334,0.8318965517241379,0.7577639751552795,0.7331730769230769,0.7840616966580977,0.6301033893755076,0.8968688212484037,0.7994542734270608
44,33,0.1632510122544102,0.7216897001343037,3.1116307949394137,0.9150687501651235,1.0375485909591564,0.021300426978717694,0.0027375038868320384,0.02784879886612261,0.853239297947725,0.8405172413793104,0.7690387016229713,0.7475728155339806,0.7917737789203085,0.6480242874611348,0.8934412291318656,0.7811660146667762
45,36,0.1382417301852463,0.691883035770241,1.1493874026362854,0.9253912953622672,0.9441183172931602,0.021095905002942932,0.013450982200040804,0.024915835547394866,0.8224943710128949,0.8405172413793104,0.7575360419397117,0.7727272727272727,0.7429305912596401,0.6390603541612999,0.8933912156282197,0.7850478159752825
46,20,0.011119200215823157,0.5414662836068935,4.275627573284419,0.8824890641504934,1.0222199670888525,0.021853965401120806,0.004030019076282266,0.028620016292971267,0.8118362564669724,0.8129310344827586,0.7425860023724792,0.6894273127753304,0.8046272493573264,0.6014312917939907,0.8782704663592503,0.7707573827343555
47,36,0.06454776035473499,0.718100298274984,3.6743261206839755,0.9060819718107218,1.9192831115878837,0.022361070647880548,0.0035692159185362732,0.02567191674129619,0.8792892391473437,0.8301724137931035,0.7600487210718635,0.7222222222222222,0.8020565552699229,0.6312560272369686,0.8928277301538081,0.7928993159432256
48,35,0.18978809063676538,0.5118109184437227,4.895080856013662,0.5923393477573682,2.1536209992483526,0.022123542911467335,0.0021269019262284364,0.027263152429543913,0.8465176918914701,0.8301724137931035,0.7570900123304563,0.7274881516587678,0.7892030848329049,0.6281001107766474,0.8928177274530791,0.7950504653027685
49,17,0.18643376454100213,0.536937334753931,2.908120798388591,0.822672822928637,1.4069065558063225,0.019506614636139,0.006993450158971339,0.023216128508268496,0.8207182262867924,0.8362068965517241,0.7636815920398011,0.7397590361445783,0.7892030848329049,0.6393347597520459,0.8897168902270279,0.7795386291784917
