# {'solver': 'saga', 'n_jobs': -1}
,penalty,C,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,l2,0.6795376135002971,0.043576652823320634,0.01330290888284276,0.004509010986836682,0.853398196809112,0.7939244663382594,0.7792436235708003,0.7717770034843205,0.7868561278863233,0.5861484371192396,0.8756931921413366,0.847549943031318
1,l1,3.8104807905515417,0.0028446772055019504,0.014291502923758423,0.028651378714456173,0.9157366468372982,0.7939244663382594,0.7800175284837862,0.7698961937716263,0.7904085257548845,0.5864374253401615,0.865629872683145,0.8290664168232894
2,l2,3.958293890912477,0.03305230175765003,0.037161225259095286,0.016825015672231255,0.9073354828618568,0.7889983579638752,0.7715555555555556,0.7722419928825622,0.7708703374777975,0.5755230662076889,0.8675443710764308,0.8398179495568252
3,l2,1.1096239590303862,0.033923853484161,0.003965986368393072,0.014589658977229938,0.9182123704471618,0.7980295566502463,0.783450704225352,0.7766143106457243,0.7904085257548845,0.5943282597972244,0.8705408593548738,0.8458735567498396
4,l2,0.7395189351491377,0.028553619450562444,0.02429965211691674,0.04349398896753508,0.838332508058366,0.8004926108374384,0.7866549604916594,0.7777777777777778,0.7957371225577264,0.5994830839859042,0.8650658278307324,0.8185761150586655
5,l1,0.5740939023356754,0.02266280812469537,0.004298756212432304,0.024822037681476054,0.8392691958598955,0.7947454844006568,0.7803163444639718,0.7721739130434783,0.7886323268206039,0.587867630997602,0.8726261982563421,0.840072180657744
6,l2,3.55138381829181,0.005303281649126697,0.04483266610014365,0.017032077528913073,0.913911276063596,0.7906403940886699,0.7741364038972542,0.7720848056537103,0.7761989342806395,0.5790427827366553,0.869743603650021,0.8414237202010215
7,l1,1.116331078836688,0.03488528592012451,0.004272497545219706,0.023149468078825657,0.8436456040095682,0.7980295566502463,0.7826855123674913,0.7785588752196837,0.7868561278863233,0.5940742272954919,0.8706140767155234,0.8369268496923872
8,l1,0.5765439846651382,0.023498824336014783,0.03978372391337495,0.034529232759302274,0.9397726420344577,0.8013136288998358,0.7884615384615384,0.7762478485370051,0.8010657193605684,0.6015070773674833,0.8670698141092564,0.8220022129803465
9,l1,1.4573478877591266,0.04058214505667957,0.013455042644834983,0.036218741528946864,0.8276171964633244,0.7988505747126436,0.7845206684256817,0.7770034843205574,0.7921847246891652,0.5960452376165951,0.8634496223882419,0.8139818837655016
10,l1,2.7197329405318373,0.01668376179971055,0.046605722840264985,0.030766980900637515,0.955101187151688,0.7955665024630542,0.7813871817383669,0.7725694444444444,0.7904085257548845,0.5895881035504257,0.8668745678141906,0.8239311642353866
11,l1,0.2957682946674096,0.001849913169746809,0.016082866925721882,0.045817198413972415,0.9948593528576469,0.7980295566502463,0.7853403141361257,0.7718696397941681,0.7992895204262878,0.5950753547663907,0.8653261562241537,0.8212505085870832
12,l1,0.30264841219127586,0.043313958912677114,0.0022080415873839358,0.0029782101928983234,0.9300121945692806,0.812807881773399,0.797153024911032,0.7985739750445633,0.7957371225577264,0.6233769606784653,0.8836142258619988,0.8535194380122031
13,l1,3.9390820120350796,0.04839366746518362,0.0014876362598351292,0.011855390529879686,0.8070851987973979,0.80623973727422,0.7937062937062936,0.7814113597246127,0.8063943161634103,0.6113979796949625,0.8715089555679091,0.8436661729350806
14,l2,0.16606952631152072,0.007524965725822082,0.039687068497819916,0.03487227000372203,0.8253310244546685,0.7972085385878489,0.7842794759825328,0.7714776632302406,0.7975133214920072,0.5933450879964633,0.8660068065027863,0.8179544755933263
15,l1,3.6292183225285184,0.03152195870922887,0.02475516687423073,0.012073501773476904,0.8322600138484209,0.8045977011494253,0.7926829268292683,0.7777777777777778,0.8081705150976909,0.6084281275019411,0.8755467574200372,0.8494948900956472
16,l2,0.19046546074131454,0.029192604343831825,0.039629470136951284,0.029487710892412373,0.9448148134161933,0.7980295566502463,0.784965034965035,0.7728055077452668,0.7975133214920072,0.5949131424824972,0.8678453757813241,0.8270872510858394
17,l2,0.4839505200262715,0.043435483401207765,0.009321170635550432,0.006948706978820253,0.9064477997111481,0.8013136288998358,0.7880910683012259,0.7772020725388601,0.7992895204262878,0.6013522940583907,0.8775778612395427,0.849792984840036
