,max_depth,objective,colsample_bytree,subsample,n_estimators,learning_rate,gamma,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score
0,10,binary:logistic,0.7837898709974901,0.5103507460571711,10000,0.2415971566885059,1.5807710728994449,0.030597120753754283,0.020495548095455684,0.024577572056765196,0.994546290002186,0.8078817733990148,0.7947368421052632,0.7850953206239168,0.8046181172291297,0.61439612677987,0.8854717774192236
1,20,binary:logistic,0.08145204409002028,0.16700942837424843,100,0.19647698676258193,1.485495728792648,0.047044787813097795,0.009251890903122003,0.0078048742534446505,0.9061526278430645,0.7602627257799671,0.74430823117338,0.7340241796200345,0.7548845470692718,0.5189151877970941,0.8408146109310808
2,10,binary:logistic,0.7608292385005361,0.340406730256683,100,0.3391353632362638,1.253205389928414,0.01817850906927079,0.046855871480851824,0.03206283510695043,0.999842764466476,0.784072249589491,0.766637089618456,0.7659574468085106,0.7673179396092362,0.5657214249263148,0.8615107182080728
3,10,binary:logistic,0.10018782458946679,0.03256974414057413,100,0.38078489577823427,0.27331865711352804,0.02866854010179077,0.023411703570135788,0.044777234157724805,0.8942229607565895,0.687192118226601,0.6773920406435225,0.6472491909385113,0.7104795737122558,0.37661740948317723,0.7546608273561753
4,20,binary:logistic,0.4747349293271048,0.19655272856826694,1000,0.10588097054933808,0.7660383129721358,0.003542795542434119,0.001303596675480723,0.01754897541717632,0.9248114815418108,0.8144499178981938,0.8003533568904595,0.7961335676625659,0.8046181172291297,0.6270803081544148,0.8834271148292273
5,20,binary:logistic,0.7179222831985049,0.3688075328142721,1000,0.23556160005234755,0.09438621909194292,0.021181659179168255,0.015806665994097576,0.03028022701072059,0.8614342384916591,0.8054187192118226,0.7908208296557812,0.7859649122807018,0.7957371225577264,0.6089864806683629,0.8793499925426763
6,10,binary:logistic,0.8239428223860106,0.7673447888936211,5000,0.15962757373991204,1.7602790154607142,0.027521080968084262,0.003041703485311387,0.017611280031166063,0.895737549307568,0.819376026272578,0.806338028169014,0.7993019197207679,0.8134991119005328,0.6372185144591568,0.892649790516996
7,30,binary:logistic,0.8696940647084316,0.5998096352813101,5000,0.12095219508224576,0.028981188681252774,0.021734667353809415,0.02560555944289034,0.03248713440964922,0.9518331628885299,0.8144499178981938,0.8007054673721341,0.7950963222416813,0.8063943161634103,0.627197151781307,0.8807234959933834
8,50,binary:logistic,0.24648099257390588,0.25383484167703146,1000,0.3660522342980583,1.3836790769301512,0.04652229917087046,0.008030401913339764,0.0244801311050381,0.845765723310155,0.7701149425287356,0.7526501766784451,0.7486818980667839,0.7566607460035524,0.537963889835323,0.8397963472672298
9,20,binary:logistic,0.23900804306519366,0.6226772039425171,100,0.26220323644623644,0.06741088770112881,0.03472505017338665,0.04292356565455174,0.009792153878519679,0.939833495718484,0.7980295566502463,0.7864583333333335,0.769100169779287,0.8046181172291297,0.5956003633919893,0.8829145933046791
