# fix_model_params={'objective': 'binary:logistic', 'eval_metric': 'aucpr'}
# main_metric=mcc
# model_params=[Integer(low=5, high=50, prior='uniform', transform='identity'), Real(low=0.01, high=0.2, prior='uniform', transform='identity'), Real(low=0.5, high=1, prior='uniform', transform='identity'), Real(low=1, high=6, prior='uniform', transform='identity'), Real(low=0.5, high=1.0, prior='uniform', transform='identity'), Real(low=0.5, high=4.0, prior='uniform', transform='identity')]
# preprocessing_params=None
,max_depth,eta,subsample,scale_pos_weight,colsample_bytree,lambda,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,30,0.11073639513194583,0.7807656081319418,5.255847151156862,0.7298745821064657,3.803924788192594,0.0031912377681748154,0.03947639698229883,0.0014954160377399054,0.8154452691321408,0.8443316412859561,0.8192534381139488,0.7554347826086957,0.8948497854077253,0.691831410604574,0.9266070443810391,0.8875119555132951
1,10,0.023495837181184767,0.9321390381661185,4.294768845539666,0.787019517157197,3.882349218111513,0.021736019445136427,0.009260969717139363,0.03028345778247703,0.8078281489794177,0.7834179357021996,0.7726465364120781,0.6590909090909091,0.9334763948497854,0.6093890538377598,0.9051717937036948,0.8472648109384064
2,10,0.1534925253204135,0.5522749608248413,4.598619315722255,0.9745017847160604,2.395122212642561,0.005909687445184665,0.013146604385496004,0.018049800826120784,0.998852389593732,0.8206429780033841,0.7941747572815534,0.725177304964539,0.8776824034334764,0.6469188561036938,0.9145916752583498,0.8661541632022922
3,14,0.0563428161352198,0.7794785711859287,1.871092085137088,0.648060476122618,1.0085591332221513,0.048567024659551185,0.03917155824201921,0.013683051930346987,0.9654425501286622,0.8384094754653131,0.803699897225077,0.7712031558185405,0.8390557939914163,0.6685145982749349,0.921443043134246,0.8782040117353892
4,15,0.0774220394488055,0.9941108894321096,1.8313512802092933,0.793363027122328,1.922562067465151,0.00803883942213894,0.02499555332223751,0.0028993448634089154,0.8064016684831229,0.8384094754653131,0.8020725388601035,0.7755511022044088,0.8304721030042919,0.6669286300226351,0.920205241326396,0.876554962779357
5,28,0.14070889503854647,0.9285947082377951,2.186993285501752,0.9822795924589444,1.1670790315797985,0.007522605667766409,0.033450114840493116,0.010454076875960457,0.8235582738854259,0.8375634517766497,0.8016528925619835,0.7729083665338645,0.8326180257510729,0.6657579520315537,0.923205337233558,0.8795948563338114
6,34,0.1607765490595018,0.9007684405870025,2.8344488294366377,0.6561124380661518,3.9199148048280295,0.020478698326314534,0.012563375287200732,0.031122798194624792,0.8027466723932665,0.8274111675126904,0.7914110429447853,0.755859375,0.8304721030042919,0.6468578066183515,0.9184129762390006,0.8726166751947816
7,14,0.14490545530050808,0.8968418700756343,3.510901583992284,0.632210834608206,3.717343290554837,0.03610726422473761,0.0005476736982904686,0.005457981018972781,0.9345431022545787,0.8392554991539763,0.8084677419354839,0.7623574144486692,0.8605150214592274,0.6745078649718218,0.9255490685016904,0.8841097489807404
8,24,0.18525784497073278,0.6109920963809686,2.19017751897193,0.6578536572259633,3.1380381458811915,0.014640370601816569,6.11159710688869e-05,0.04353837956411826,0.9265236030761502,0.8307952622673435,0.7907949790794978,0.7714285714285715,0.8111587982832618,0.6494764685275117,0.9151191646486202,0.8705073415717551
9,11,0.010810258099648112,0.7023129961266708,4.736979084725693,0.7236502001167425,1.9093284033238211,0.022829474403756315,0.0016146845172775707,0.03101697105367491,0.8131210456263582,0.7690355329949239,0.7640449438202246,0.6396526772793053,0.9484978540772532,0.5957318523341579,0.8984028460450284,0.8423018379120819
