# fix_model_params={'verbose': 0}
# main_metric=mcc
# model_params=[Integer(low=4, high=12, prior='uniform', transform='identity'), Real(low=2.0, high=10.0, prior='uniform', transform='identity'), Real(low=1, high=6, prior='uniform', transform='identity')]
# preprocessing_params=None
,max_depth,l2_leaf_reg,scale_pos_weight,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
0,8,9.819943139698626,2.847026492544118,0.02213094785111348,0.0066289552125911215,0.04730032716665115,0.8810395075992633,0.8291032148900169,0.8057692307692307,0.7299651567944251,0.8991416309012875,0.667493349928673,0.9195578679837918,0.8752397579590419
1,8,3.7659882537670772,3.2101268741501854,0.02512272210674806,0.013343168831518978,0.010863843169927674,0.8181055495494876,0.8248730964467005,0.8056338028169016,0.7161936560934892,0.9206008583690987,0.667776308498941,0.9257049176397247,0.8812359890059629
2,10,2.0932443396592237,3.641137813372984,0.041521960869257434,0.033165086013730465,0.045958308544523194,0.8646679155923919,0.8367174280879864,0.8105986261040236,0.7468354430379747,0.8862660944206009,0.6765085272446502,0.9241464262593808,0.8797981981812554
3,8,8.288226122187265,5.454719366862752,0.027886492718300383,0.044577923651772995,0.02484826705979512,0.824291923150321,0.7969543147208121,0.7864768683274022,0.6717325227963525,0.9484978540772532,0.6362907050990083,0.9223601553696023,0.877550238279778
4,5,7.035069353823174,1.4945445013088785,0.03163591175505813,0.018048402874159722,0.03444021800039253,0.979410346652716,0.8367174280879864,0.8068068068068068,0.7560975609756098,0.8648068669527897,0.6710246383924643,0.9195848418730669,0.8734713633154975
5,8,4.58313564905831,5.568810261836027,0.04818891500552339,0.015069074101488236,0.0008563731421525391,0.928037775698787,0.7969543147208121,0.7887323943661971,0.6686567164179105,0.9613733905579399,0.6423472235817332,0.9250695326923539,0.8818508203573454
6,9,3.987605299850158,5.601538828191001,0.028106612933072938,0.020736455424625693,0.006419521124789036,0.84375325800144,0.8020304568527918,0.7888086642599278,0.6806853582554517,0.9377682403433476,0.639101383999073,0.9248027908984103,0.8802219939667093
7,9,8.832553561594192,4.711841678511373,0.0024687762402075437,0.04011429904283659,0.0001812786773153219,0.8745159125454358,0.7969543147208121,0.7860962566844919,0.6722560975609756,0.9463519313304721,0.6353104542418522,0.9239306351451795,0.8800825203774952
8,4,5.68956730398932,4.00411842936461,0.037653527931015916,0.007528191370522931,0.04822246268441163,0.9853428758503812,0.7690355329949239,0.7644521138912856,0.6392496392496393,0.9506437768240343,0.5968303346118737,0.9094366653079818,0.8528910891492881
9,11,2.9658612763060868,4.595465415625487,0.028912259443081696,0.014053793922314543,0.022315933609672614,0.9840962653035281,0.8299492385786802,0.8087535680304472,0.7264957264957265,0.9120171673819742,0.6730108233951336,0.9281745270578081,0.8888774311210283
