# test
,max_depth,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score
0, 3,0.7454844006568144,0.7313691507798961,0.7140439932318104,0.7495559502664298,0.49035070635930755,0.8181741759657234
1, 4,0.7602627257799671,0.7491408934707904,0.7254575707154742,0.7744227353463587,0.521066606964253,0.8242864697029274
2, 5,0.7725779967159278,0.7634500426985482,0.7351973684210527,0.7939609236234458,0.546594180788771,0.8369503613412336
3, 6,0.7758620689655172,0.765262252794497,0.7416666666666667,0.7904085257548845,0.5522456392124397,0.8421677762260518
4, 7,0.7766830870279147,0.7679180887372014,0.7389162561576355,0.7992895204262878,0.5549515304704347,0.8501267745040878
5, 8,0.7799671592775042,0.7713310580204779,0.7422003284072249,0.8028419182948491,0.5615384922564339,0.8557238349626455
6, 9,0.7865353037766831,0.7766323024054982,0.7520798668885191,0.8028419182948491,0.5737668484802991,0.8615486827654469
7, 10,0.7873563218390804,0.778443113772455,0.7508250825082509,0.8081705150976909,0.5759929919893094,0.8649356636340216
8, 11,0.7898193760262726,0.7789291882556131,0.7579831932773109,0.8010657193605684,0.5797111975486626,0.8673409895190705
9, 12,0.7922824302134647,0.7817083692838654,0.7600671140939598,0.8046181172291297,0.5847558461326547,0.8692771819451411
10, 13,0.8021346469622331,0.7924203273040482,0.7692307692307693,0.8170515097690941,0.6047309114547172,0.8747603487315769
11, 14,0.7939244663382594,0.7834339948231234,0.761744966442953,0.8063943161634103,0.5880500776553209,0.8728078857809175
12, 15,0.7914614121510674,0.7798960138648181,0.7614213197969543,0.7992895204262878,0.5826084781587251,0.8728729678792726
13, 16,0.7980295566502463,0.7871972318339099,0.7672849915682968,0.8081705150976909,0.5959823561321987,0.8760375849118003
14, 17,0.80623973727422,0.7951388888888888,0.7775891341256367,0.8134991119005328,0.6120766552018128,0.8765012948625819
15, 18,0.8045977011494253,0.7948275862068965,0.7721943048576214,0.8188277087033747,0.6095664416754499,0.8765582416986428
16, 19,0.8087027914614121,0.7972149695387293,0.7815699658703071,0.8134991119005328,0.6167535732593348,0.8785161281574987
17, 20,0.8070607553366174,0.795829713292789,0.7789115646258503,0.8134991119005328,0.6136337883450061,0.8790449202066357
18, 21,0.812807881773399,0.7999999999999999,0.7902946273830156,0.8099467140319716,0.6242902376874104,0.8818380269277183
19, 22,0.7955665024630542,0.7810026385224274,0.7735191637630662,0.7886323268206039,0.5894473706183581,0.8786327335837185
20, 23,0.80623973727422,0.792982456140351,0.7833622183708839,0.8028419182948491,0.6110980898106898,0.8815261752064322
21, 24,0.80623973727422,0.792982456140351,0.7833622183708839,0.8028419182948491,0.6110980898106898,0.8838962482882053
22, 25,0.8021346469622331,0.78915135608049,0.7775862068965518,0.8010657193605684,0.6030774879560904,0.8836603256816671
23, 26,0.8037766830870279,0.7919930374238467,0.7764505119453925,0.8081705150976909,0.6068660766302112,0.8828915433948449
24, 27,0.7996715927750411,0.7852112676056339,0.7783595113438045,0.7921847246891652,0.5976275101558346,0.8796754030344527
25, 28,0.8021346469622331,0.7884108867427568,0.7795138888888888,0.7975133214920072,0.6027814107977304,0.8825118978211056
26, 29,0.8054187192118226,0.7922874671340929,0.7820069204152249,0.8028419182948491,0.6095217181638989,0.882324786788334
27, 30,0.8054187192118226,0.7930131004366813,0.7800687285223368,0.8063943161634103,0.6098287004421721,0.8835450761324963
28, 31,0.8070607553366174,0.7929515418502202,0.7867132867132867,0.7992895204262878,0.6124100187839885,0.8823776659932479
29, 32,0.7996715927750411,0.7855887521968367,0.7773913043478261,0.7939609236234458,0.5977635079557081,0.8800089487885239
30, 33,0.8111658456486043,0.7960992907801419,0.7946902654867256,0.7975133214920072,0.6202627233206487,0.8811234797228586
31, 34,0.8029556650246306,0.7898423817863397,0.7789291882556131,0.8010657193605684,0.6046497783088427,0.8770653397149947
32, 35,0.8054187192118226,0.7897071872227152,0.7890070921985816,0.7904085257548845,0.6086540424100828,0.8798801404688622
33, 36,0.8070607553366174,0.7933157431838171,0.7857142857142857,0.8010657193605684,0.6125399051121876,0.881184494190067
34, 37,0.7996715927750411,0.7836879432624113,0.7823008849557522,0.7850799289520426,0.5971479485343547,0.880677396173715
35, 38,0.8111658456486043,0.7975352112676056,0.7905759162303665,0.8046181172291297,0.6207222626661059,0.8816658305424863
36, 39,0.8078817733990148,0.7947368421052632,0.7850953206239168,0.8046181172291297,0.61439612677987,0.8854080511979173
37, 40,0.8119868637110016,0.798237885462555,0.791958041958042,0.8046181172291297,0.6223087475007975,0.8831017043374508
38, 41,0.8045977011494253,0.790492957746479,0.7835951134380453,0.7975133214920072,0.6075252612316652,0.8826583325424051
39, 42,0.8037766830870279,0.7890556045895851,0.7842105263157895,0.7939609236234458,0.6056862255741084,0.8828671376079616
40, 43,0.8087027914614121,0.794351279788173,0.7894736842105263,0.7992895204262878,0.6155869908568719,0.8852914457716974
41, 44,0.8111658456486043,0.7975352112676056,0.7905759162303665,0.8046181172291297,0.6207222626661059,0.8873401759928409
42, 45,0.8103448275862069,0.7964757709251101,0.7902097902097902,0.8028419182948491,0.6190091712618612,0.8820617466408147
43, 46,0.8160919540229885,0.8021201413427561,0.7978910369068541,0.8063943161634103,0.6303809162403071,0.8864330942470137
44, 47,0.8070607553366174,0.7922192749778956,0.7887323943661971,0.7957371225577264,0.6121700602124454,0.8849348501077925
45, 48,0.8136288998357963,0.8013998250218723,0.7896551724137931,0.8134991119005328,0.626158037482137,0.8826854500833865
46, 49,0.80623973727422,0.7900355871886121,0.7914438502673797,0.7886323268206039,0.6101619257059193,0.8823898688866894
47, 50,0.8095238095238095,0.7943262411347517,0.7929203539823009,0.7957371225577264,0.6169606126368924,0.88302984285385
48, 51,0.8013136288998358,0.7869718309859155,0.7801047120418848,0.7939609236234458,0.6009267605144448,0.8778585277887
49, 52,0.8103448275862069,0.7953941541186892,0.7932862190812721,0.7975133214920072,0.6186634397929405,0.8849172237061543
50, 53,0.8144499178981938,0.7996453900709221,0.7982300884955752,0.8010657193605684,0.6268669446881613,0.8853850012880833
51, 54,0.8111658456486043,0.7975352112676056,0.7905759162303665,0.8046181172291297,0.6207222626661059,0.8778232749854243
52, 55,0.80623973727422,0.7907801418439717,0.7893805309734513,0.7921847246891652,0.6103563912693799,0.8826393502637182
53, 56,0.8087027914614121,0.7947136563876652,0.7884615384615384,0.8010657193605684,0.6157095950229248,0.8822705517063711
